 OTUID	E3	L3	A3	M1	E1	F3	A1	L1	F1	H1	H3	M2	L3.GO	F1.GO	F3.GO	E3.GO	L1.GO	H1.GO	M1.GO	M2.GO	H3.GO	A3.GO	A1.GO	E1.GO
OTU_1	2708	539	2507	229	1621	1084	1632	717	2034	3256	2057	1015	503	1585	599	2788	980	1703	352	625	1621	2417	1252	2304
OTU_10	302	304	294	63	197	200	219	83	116	212	386	220	297	65	82	410	132	95	93	114	250	377	382	324
OTU_100	15	28	21	29	25	33	9	29	52	33	24	52	34	29	27	15	50	43	34	39	32	21	13	20
OTU_1000	0	0	0	3	0	3	0	0	5	0	2	0	0	1	1	0	1	0	2	0	0	0	0	0
OTU_10000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10001	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10002	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10003	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10004	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
OTU_10006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10009	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1001	2	0	1	5	1	0	0	0	4	1	1	0	0	0	0	2	0	1	1	1	1	3	1	1
OTU_10010	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10011	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10012	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10013	7	5	5	8	3	3	2	7	8	8	12	8	7	4	2	3	11	18	6	8	10	7	0	4
OTU_10014	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10015	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10016	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
