#OTU ID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
OTU_1	8	0	0	0	0	1	10	4	3	2	1	6	7	10	8	3	2	8
OTU_10	1	2	0	2	0	0	6	2	1	2	0	1	0	3	2	3	1	2
OTU_100	0	17	8	0	0	5	18	35	25	5	13	22	9	7	9	15	3	6
OTU_1000	1	0	1	2	1	5	1	2	0	3	1	0	2	3	1	5	5	8
OTU_1004	3	1	0	0	1	1	8	13	5	16	3	2	1	3	5	3	12	6
OTU_1005	5	5	26	71	20	64	36	21	17	21	17	33	8	22	13	23	25	23
OTU_1007	1	0	0	0	3	0	0	0	0	0	0	3	0	0	1	3	1	1
OTU_1008	8	6	3	6	1	2	9	5	17	15	21	9	13	13	10	6	9	10
OTU_1009	2	0	0	0	1	0	1	0	2	7	5	2	1	0	1	4	1	6
OTU_101	2	11	0	1	0	3	23	60	16	8	16	13	13	14	25	13	9	10
OTU_1010	23	17	7	14	12	7	47	13	43	30	33	34	27	29	43	44	27	37
OTU_1011	2051	920	1556	1784	2727	1450	1283	1141	1660	1839	1651	1215	2316	3521	1834	2035	2510	1850
OTU_1013	15	7	14	14	9	8	18	11	77	36	20	20	27	38	27	30	15	33
OTU_1014	7	9	6	5	5	8	10	4	7	7	10	10	5	4	5	6	5	8
OTU_1015	6	6	0	0	1	2	17	13	6	8	8	9	18	9	7	9	7	3
OTU_1016	1	1	1	0	3	0	3	1	0	10	1	2	0	2	4	3	2	0
OTU_1017	128	98	39	27	109	5	36	23	66	350	46	27	89	43	113	138	20	39
OTU_1018	5	1	1	0	0	2	8	3	5	7	5	4	5	5	13	22	4	4
OTU_1019	446	458	484	460	1081	517	768	572	379	609	474	262	690	714	742	605	467	710
OTU_1020	2	1	4	1	4	0	1	1	2	1	1	6	1	0	2	0	0	3
OTU_1022	5	3	0	3	0	8	8	1	6	2	1	3	0	0	4	3	4	4
OTU_1023	12	12	2	7	2	8	16	26	9	13	8	19	17	6	16	13	25	19
OTU_1024	2	3	0	0	0	0	1	3	1	2	1	2	1	1	2	1	1	6
OTU_1025	2	1	2	0	1	0	3	2	6	4	4	5	5	2	20	1	1	2
OTU_1026	2132	1301	2540	2359	3173	2017	741	555	1340	1356	1083	717	1420	1764	968	1226	1665	1308
OTU_1027	21	10	5	9	4	6	52	32	43	44	52	15	32	66	44	50	19	30
OTU_1028	4	0	0	2	0	0	9	12	4	11	7	3	4	10	7	7	3	5
OTU_1029	8	4	2	5	7	3	1	10	1	3	2	4	3	3	2	5	0	6
OTU_103	1	10	19	2	2	1	25	38	22	4	5	29	12	5	24	6	3	8
OTU_1030	6	3	2	0	1	0	5	3	3	5	1	4	2	1	2	7	0	5
OTU_1031	2	2	1	2	2	3	1	0	0	3	9	5	2	0	3	2	6	2
OTU_1032	4	1	0	0	0	0	3	3	4	5	4	1	2	4	6	5	6	3
OTU_1033	8	5	5	6	1	4	5	11	9	5	7	5	18	10	14	19	15	9
OTU_1034	22	8	5	24	10	10	16	15	22	33	14	28	13	18	34	27	16	20
OTU_1035	10	6	0	2	2	2	26	24	5	17	12	13	6	7	15	7	16	21
