names	plsda1	plsda2	group
c_1	3.95644345577644	1.16044067124071	control
c_10	3.71133040701769	-0.313812806465611	control
c_2	6.00317648354049	-1.81591548556093	control
c_3	4.65252829965048	0.055960414640412	control
c_4	6.51721051652014	-1.64368704724625	control
c_5	5.14564011331825	-1.83284974887279	control
c_6	5.66973791553356	-0.970279302432657	control
c_7	5.25567745320093	-0.342749374291033	control
c_8	6.74726662553607	-0.564279643604402	control
c_9	6.0362046228501	-0.295525804358974	control
t1_1	-1.91318926113381	2.02266767035992	treat-low
t1_10	2.05268929948967	2.54500410942421	treat-low
t1_2	-2.25066139844573	-0.128197783164131	treat-low
t1_3	-3.14531581094174	-0.259027038130695	treat-low
t1_4	-0.492191666569199	1.29922056795134	treat-low
t1_5	-2.34698052982593	1.48874255019422	treat-low
t1_6	-0.870192815390852	1.45035353617077	treat-low
t1_7	-0.473703418949588	2.82276022328841	treat-low
t1_8	-0.338009957120451	3.63033363856257	treat-low
t1_9	-0.937271961151785	2.85531518891011	treat-low
t2_1	-4.13433792564516	-0.891360445273032	treat-higt
t2_10	-4.53488345959343	-1.39679153965308	treat-higt
t2_2	-4.32828993489853	-1.24038790405384	treat-higt
t2_3	-4.49328495003654	-1.14070024460414	treat-higt
t2_4	-4.12286123767196	-1.32094395442936	treat-higt
t2_5	-4.42230114493089	-1.59665219876639	treat-higt
t2_6	-4.16186483758128	-0.610435092621562	treat-higt
t2_7	-4.45762912146933	-1.02715363697255	treat-higt
t2_8	-4.51084880682739	-1.27824948570716	treat-higt
t2_9	-3.81408695425023	-0.661800034534087	treat-higt
