sample	Long	Lat	pH	H2	Ce	H2Rec	EneRec	SubRec	RT
A1	122.5494156	51.46034783	7	1.3	92.5	75	154	57	82.5
A2	122.5494156	51.46034783	7	1.3	92.5	75	154	57	82.5
A3	122.5494156	51.46034783	7	1.4	92	80.5	165.3	61.5	82.75
A4	122.5413047	51.4499494	7	1.4	92	80.5	165.3	61.5	82.75
A5	122.5413047	51.4499494	7	1.5	89.7	92.3	188.5	68.3	82.5
A6	122.5413047	51.4499494	7	1.5	89.7	92.3	188.5	68.3	82.5
B1	122.5334259	51.44133347	4	1.3	92.5	75	154	57	82.5
B2	122.5334259	51.44133347	4	1.3	92.5	75	154	57	82.5
B3	122.5334259	51.44133347	4	1.4	92	80.5	165.3	61.5	82.75
B4	122.461821	51.50997581	4	1.4	92	80.5	165.3	61.5	82.75
B5	122.461821	51.50997581	4	1.5	89.7	92.3	188.5	68.3	82.5
B6	122.461821	51.50997581	4	1.5	89.7	92.3	188.5	68.3	82.5
C1	122.4620137	51.50959306	7	1.1	84.4	71.1	143.3	50.8	82.5
C2	122.4620137	51.50959306	7	1.1	84.4	71.1	143.3	50.8	82.5
C3	122.4620137	51.50959306	7	1	81.6	66.9	135.4	46.8	82.75
C4	122.5598841	51.46064342	7	1	81.6	66.9	135.4	46.8	82.75
C5	122.5598841	51.46064342	7	1.1	83.3	71.8	145.7	51.1	82.5
C6	122.5598841	51.46064342	7	1.1	83.3	71.8	145.7	51.1	82.5
