OTUId	C5	C3	B5	C2	B1	A5	A4	A1	C4	A6	A3	A2	B3	C1	B6	C6	B4	B2
OTU_1229	3188	1470	2731	2758	7376	8536	9490	10493	1259	9753	10727	8930	4926	3777	4725	3006	1719	2759
OTU_11	0	1515	2	1432	5	4	130	4	496	12	365	1	81	1560	3	0	44	22
OTU_4	47	228	2339	6	828	734	1822	319	88	442	1770	157	3589	18	2344	63	4840	886
OTU_1	25450	24546	4002	25075	1635	16926	1101	1055	22939	14398	2441	1443	536	29886	6738	34849	830	873
OTU_38	14	20	1	66	58	0	6	51	15	0	15	52	8	111	4	18	1	153
OTU_114	7	194	5	197	5	44	350	2	86	38	829	3	60	132	10	20	108	0
OTU_52	0	3	9	7	29	15	18	95	2	6	122	32	48	9	9	0	28	163
OTU_6	2	0	1001	2	1429	451	1382	1689	1	1126	2409	2289	1160	10	644	5	768	587
OTU_5	568	1307	832	580	240	899	4859	1559	1015	808	2444	157	1132	790	236	526	1614	309
OTU_3	23	2	6153	11	12785	3723	40	3573	2	5219	96	8260	31	13	3167	5	11	3652
OTU_51	14	10	55	14	39	27	66	236	4	41	109	71	117	12	44	12	93	62
OTU_7	0	0	80	1	674	117	923	354	0	126	2036	278	787	4	170	0	5848	446
OTU_819	2126	1489	828	1468	1513	1183	1262	936	1615	2598	3535	1242	1056	1869	1088	1732	1677	345
OTU_606	1	1	4	0	5	39	144	1	0	17	556	1	82	0	8	0	24	1
OTU_214	528	1379	1419	215	2028	148	753	862	745	244	1576	124	2170	826	2677	705	2116	1428
OTU_21	10	295	31	14	51	136	716	1020	90	37	442	48	127	29	31	9	381	310
OTU_525	1	26	5	11	0	8	80	0	10	14	232	0	17	6	2	3	11	0
OTU_19	28	1310	41	161	0	42	374	55	353	25	232	1	262	132	26	68	378	37
OTU_1311	14	19	9	0	13	2	3	3	2	0	6	1	6	11	21	11	17	9
OTU_20	2	208	15	17	45	8	21	471	108	12	10	2451	12	11	28	4	19	521
OTU_2	8999	7821	6094	1189	9252	626	3086	2529	4630	971	6374	350	6817	5183	11809	11420	7748	4504
OTU_694	12	0	903	1	2049	708	5	636	0	1417	53	1808	3	3	542	1	8	265
OTU_13	0	1	35	0	9	151	644	5	0	52	2904	7	642	0	39	2	239	5
OTU_112	0	4	0	12	0	0	6	0	2	0	8	0	12	9	1	0	8	0
OTU_871	0	0	10	2	152	31	134	62	0	48	246	67	68	0	20	0	321	31
