	CASEYR	SCHSUP	DAPOLD	PINMAS	CINSUB	CYCGLA	MACTHU	LITGLA	CASFAR	MELOLD	MYRRUB	ADIMIL	ALBKAL	SORFOL	CYCMYR	TOXSUC	CASTIB	CASCAR	CAMFRA	QUESER	MICSKI	RHOSIM
1	22	3	8	1	0	9	0	9	0	1	1	0	0	0	0	1	0	0	5	0	0	1
2	10	8	4	0	4	12	0	3	0	0	1	4	0	0	0	2	0	0	0	0	0	0
3	4	2	7	0	4	25	0	4	1	0	1	0	0	0	0	1	0	0	0	2	0	0
4	22	2	9	0	12	5	1	5	10	1	0	2	0	0	0	0	7	1	7	0	3	0
5	11	5	3	0	8	5	3	2	4	0	0	3	0	0	0	0	2	0	20	0	1	0
6	3	7	1	0	8	6	3	0	1	0	0	3	0	0	0	0	0	0	13	0	0	0
7	15	5	2	0	6	5	3	0	0	0	1	4	0	0	0	2	0	0	10	0	0	0
8	14	5	9	0	6	11	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0
9	26	3	11	1	4	11	0	6	0	0	1	3	0	0	0	2	0	0	1	3	0	1
10	23	5	9	1	2	11	0	8	0	0	0	5	1	0	0	0	0	0	7	1	0	0
11	14	2	4	1	1	3	3	20	0	0	4	2	1	0	0	1	0	0	6	3	0	0
12	12	7	5	0	12	1	1	5	0	3	1	2	0	0	0	0	0	0	10	4	0	2
13	4	5	10	0	6	0	6	0	2	0	0	0	0	0	0	0	4	0	12	1	1	1
14	4	2	1	0	0	2	5	2	0	0	0	0	0	0	3	1	3	0	9	1	2	0
15	3	2	2	0	6	1	4	1	0	0	1	0	0	0	4	0	4	0	9	0	1	0
16	14	4	4	0	5	5	4	0	0	0	0	1	1	0	3	0	0	0	21	0	1	0
17	7	3	0	0	4	4	3	1	2	1	0	0	0	0	2	0	1	0	16	0	0	0
18	14	3	1	0	2	2	0	1	1	0	0	1	1	0	4	0	2	0	10	0	0	3
19	28	6	3	2	1	0	1	3	0	1	2	1	2	3	0	0	0	0	0	15	0	18
20	9	8	1	4	1	0	0	1	0	0	3	0	2	1	0	0	0	0	0	30	0	51
21	4	3	10	0	6	18	0	2	2	0	0	0	0	0	0	2	0	0	4	0	0	1
22	0	0	2	0	1	24	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
23	5	1	7	0	6	11	2	0	5	0	0	0	0	0	0	0	0	0	9	0	1	0
24	18	3	3	0	2	0	5	1	19	2	0	10	0	0	0	0	12	0	9	0	11	0
25	9	0	2	2	4	2	5	1	21	1	0	1	0	0	0	0	7	5	8	0	8	0
26	23	3	0	1	9	2	5	1	22	0	0	4	0	0	0	0	1	1	28	0	1	0
27	21	7	8	0	22	9	3	7	3	0	0	4	0	0	0	2	1	0	11	1	0	0
28	5	6	4	0	19	8	1	2	3	0	3	1	0	0	0	0	2	0	10	0	0	0
29	8	4	17	0	12	13	0	7	1	0	1	2	0	0	0	2	0	0	5	1	2	0
30	11	4	13	0	7	5	6	9	0	1	0	0	0	0	0	2	0	0	21	0	0	0
31	12	7	11	0	11	11	0	8	2	0	1	0	1	0	0	0	0	0	4	1	0	1
32	8	3	6	0	10	5	9	3	1	0	0	2	1	1	2	0	1	0	12	0	2	0
33	1	2	1	0	5	6	5	0	4	0	1	1	1	0	1	0	1	0	11	0	5	0
34	9	7	4	0	9	1	0	6	4	0	0	0	0	0	1	2	1	1	5	0	0	6
35	8	5	3	0	11	4	4	8	1	0	0	1	0	0	1	1	1	0	4	0	2	1
36	10	1	7	0	2	4	8	3	4	0	0	2	0	0	3	0	6	1	13	0	1	0
37	7	4	3	0	1	8	6	1	2	0	0	1	0	0	3	0	4	0	3	0	0	0
38	8	3	0	0	3	6	2	0	0	0	0	2	0	1	3	0	0	0	0	2	0	0
39	10	3	0	1	1	0	2	0	0	0	2	0	0	0	4	1	0	0	0	1	0	1
40	6	5	2	1	2	1	2	1	0	1	2	0	0	2	4	1	1	0	0	1	0	0
