Sample	MC	NH	NO3	N	C	K	P	pH	Cnratio
B1	35.33 	8.07 	165.69 	0.86 	11.20 	228.85 	6.33 	5.70 	12.97 
B1D1	31.60 	23.18 	329.70 	0.64 	7.93 	164.50 	4.08 	5.74 	12.42 
B1D2	29.26 	5.06 	48.37 	0.62 	8.21 	232.55 	3.30 	5.92 	13.18 
B1D3	32.92 	7.05 	97.87 	0.60 	9.11 	225.00 	13.12 	4.97 	15.29 
B1D4	20.42 	3.10 	40.94 	0.35 	4.15 	174.65 	1.70 	5.90 	11.93 
B1D5	31.77 	11.68 	178.23 	0.95 	13.81 	289.60 	10.96 	6.68 	14.50 
B1L1	24.62 	7.50 	84.76 	0.58 	8.37 	186.50 	5.00 	5.49 	14.34 
B1L2	20.35 	3.27 	29.37 	0.38 	4.71 	179.25 	3.69 	6.04 	12.30 
B1L3	32.76 	8.32 	94.89 	0.72 	9.77 	214.35 	3.27 	6.15 	13.65 
B1L4	26.97 	20.92 	51.40 	0.73 	10.20 	154.87 	3.29 	6.15 	13.94 
B1L5	19.32 	1.78 	35.61 	0.29 	3.66 	133.10 	2.56 	6.57 	12.56 
B1R1	30.82 	6.88 	56.83 	0.68 	8.69 	174.35 	2.90 	6.62 	12.70 
B1R2	29.36 	5.42 	87.26 	0.39 	5.54 	188.30 	7.61 	5.78 	14.24 
B1R3	26.00 	3.73 	111.27 	0.42 	5.25 	131.60 	3.03 	6.38 	12.45 
B1R4	16.77 	2.05 	36.71 	0.27 	3.61 	86.70 	1.67 	6.38 	13.58 
B1R5	13.31 	2.39 	35.25 	0.20 	2.85 	81.28 	5.89 	5.63 	13.99 
B1U1	29.16 	4.07 	87.84 	0.60 	7.30 	213.43 	9.82 	6.04 	12.13 
B1U2	27.61 	7.02 	38.83 	0.41 	5.12 	144.15 	1.89 	5.75 	12.48 
B1U3	27.06 	4.31 	80.96 	0.50 	6.45 	149.50 	2.18 	5.64 	12.81 
B1U4	28.61 	1.51 	35.56 	0.38 	4.59 	276.15 	2.71 	6.70 	12.03 
B1U5	27.54 	3.30 	70.08 	0.49 	5.89 	325.25 	14.81 	5.74 	11.99 
B2	29.69 	7.92 	54.45 	0.68 	7.65 	336.90 	2.30 	6.70 	11.32 
B2D1	26.48 	2.77 	238.13 	0.49 	5.34 	342.80 	2.32 	6.80 	10.90 
B2D2	23.68 	3.86 	51.76 	0.41 	4.26 	351.33 	2.56 	7.16 	10.52 
B2D3	27.82 	8.60 	60.23 	0.61 	6.69 	227.80 	1.53 	7.20 	11.03 
B2D4	32.77 	7.90 	74.26 	1.09 	14.07 	357.10 	4.26 	7.32 	12.94 
B2D5	21.09 	5.26 	547.97 	0.61 	7.51 	445.40 	2.58 	7.58 	12.39 
B2L1	24.00 	1.24 	83.35 	0.48 	5.09 	282.60 	5.65 	6.08 	10.66 
B2L2	28.89 	5.69 	82.54 	0.68 	7.56 	359.65 	2.07 	7.21 	11.07 
B2L3	28.89 	1.65 	15.20 	0.15 	1.59 	300.00 	4.52 	7.21 	10.70 
B2L4	18.73 	7.00 	137.14 	0.60 	7.06 	568.65 	3.26 	7.18 	11.80 
B2L5	26.24 	23.49 	56.25 	0.55 	6.79 	239.40 	4.42 	7.13 	12.30 
B2R1	33.39 	9.40 	86.34 	0.69 	7.96 	371.55 	4.00 	6.68 	11.48 
