OTUID	B1	B1D1	B1D2	B1D3	B1D4	B1D5	B1L1	B1L2	B1L3	B1L4	B1L5	B1R1	B1R2	B1R3	B1R4	B1R5	B1U1	B1U2	B1U3	B1U4	B1U5	B2	B2D1	B2D2	B2D3	B2D4	B2D5	B2L1	B2L2	B2L3	B2L4	B2L5	B2R1	B2R2	B2R3	B2R4	B2R5	B2U1	B2U2	B2U3	B2U4	B2U5	B3	B3D1	B3D2	B3D3	B3D4	B3D5	B3L1	B3L2	B3L3	B3L4	B3L5	B3R1	B3R2	B3R3	B3R4	B3R5	B3U1	B3U2	B3U3	B3U4	B3U5	T0	T0D1	T0D2	T0D3	T0D4	T0D5	T0D6	T0L1	T0L2	T0L3	T0L4	T0L5	T0L6	T0R1	T0R2	T0R3	T0R4	T0R5	T0R6	T0U1	T0U2	T0U3	T0U4	T0U5	T0U6	T1	T1D1	T1D2	T1D3	T1D4	T1D5	T1D6	T1L1	T1L2	T1L3	T1L4	T1L5	T1L6	T1R1	T1R2	T1R3	T1R4	T1R5	T1R6	T1U1	T1U2	T1U3	T1U4	T1U5	T1U6	DL1	DL10	DL30	DL5	DL75	DR1	DR10	DR30	DR5	DR75	HA0	UL1	UL10	UL30	UL5	UL75	UR1	UR10	UR30	UR5	UR75
OTU_5293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
OTU_190	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	2	1	0	1	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	225	298	78	75	20	129	57	52	215	38	220	103	124	109	244	174	433	38	26	25	55
OTU_3	223	304	651	223	416	346	188	776	90	446	557	428	242	393	1	6	587	316	197	263	361	1	231	118	98	123	83	124	1	370	162	89	60	29	108	205	331	139	151	318	292	73	817	542	298	427	41	250	352	591	342	521	241	266	153	442	392	150	363	607	7	965	223	841	582	538	531	634	968	373	303	816	690	257	393	693	422	615	247	1122	735	658	795	288	274	368	609	331	783	7	703	675	418	940	20	823	458	4	8	4	614	698	548	553	995	895	599	544	433	839	727	520	898	0	2	0	1	1	3	7	5	1	0	6	4	65	0	22	2	13	1	3	4	0
OTU_6631	2	2	9	9	7	0	3	13	1	6	1	2	3	3	1	6	1	22	7	6	14	0	3	1	2	0	1	2	1	6	0	0	0	0	0	3	5	2	4	9	8	2	15	2	2	2	9	0	6	3	7	13	8	5	4	3	3	8	11	37	11	7	10	29	27	47	92	1	24	4	18	22	48	13	3	42	116	240	4	2	4	37	43	14	22	4	1	8	17	4	6	12	1	15	9	11	10	3	4	1	9	8	51	11	29	3	23	12	90	10	17	78	18	14	16	2	5	2	41	29	11	15	1	18	18	45	34	16	13	13	8	21	13	8
OTU_301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	26	0	0	0	0	0	0	0	22	0	2	1	0	1	0	0	0	0	7
OTU_19378	0	2	4	4	15	2	0	4	5	4	0	3	4	0	0	0	0	7	4	3	1	0	5	10	2	2	1	4	0	2	3	6	1	1	4	3	4	5	3	3	5	4	2	1	2	4	0	3	6	5	5	6	2	3	1	2	0	2	0	1	0	3	1	2	7	7	8	7	3	7	3	2	6	2	5	2	0	1	3	6	2	3	3	3	4	6	1	4	4	0	2	2	2	1	0	2	3	0	0	0	4	4	2	2	3	2	1	5	1	1	3	5	3	6	3	6	7	2	4	4	7	3	1	8	15	4	3	6	6	1	2	4	3	4
OTU_94673	0	1	7	0	3	0	0	6	0	0	0	0	1	2	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	5	0	0	0	5	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	4	0	0	1	3	0	2	1	0	0	1	2	0	0	1	1	3	0	1	0	3	0	1	1	0	2	2	1	0	0	0	2	0	0	0	3	1	1	0	0	2	1	1	0	2	1	5	0	4	8	2	3	2	10	16	13	2	12	4	8	1	6	3	3	2	7	11	6	5
OTU_14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	503	466	183	55	50	59	92	4	143	1	372	297	274	40	389	132	63	96	1	151	53
OTU_53255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	1	4	0	0	3	4	2	3	0	0	1	2	1	0	2	4	0	2	1	10
OTU_87768	7	6	6	3	20	13	4	13	7	29	8	9	2	5	5	2	8	5	7	1	10	0	6	6	12	7	11	2	0	9	10	3	2	3	4	14	3	5	19	21	20	3	4	4	7	8	1	12	18	9	12	16	5	5	16	6	6	13	2	8	1	7	7	0	1	0	1	2	1	1	0	4	2	2	8	9	0	2	0	0	2	2	4	1	0	0	0	1	2	0	1	1	2	0	0	1	1	0	0	0	1	0	4	0	1	0	0	3	4	0	0	3	2	26	68	51	16	48	60	38	5	113	274	233	193	260	417	188	7	35	64	101	10	0
