Sample_ID	diversity_PC1	function_PC1	PH	Temperature	Redoxpotential	SO4	N
DGG1_F	0.654471052	1.662190431	4.7	73.9	149	350	-0.180691409
DGGB_F	1.035534362	0.930254001	3.44	48.3	216	200	-0.274806128
GMQP_F	0.799733005	-0.651715464	8.82	74.5	-130.1	14.66666667	-0.365760608
GMQS_F	1.569748669	-0.723455083	8.82	85.7	-134.9	16	-0.654062708
GXS_F	-0.864025051	-0.356308772	7.29	73.8	-18.7	32.66666667	-0.314185439
HMZ_F	0.537056956	0.975561651	7.38	64.9	-28.9	40.3333333	-0.099107688
HTJL_F	0.127049252	-0.844755561	7.91	88.8	-73.3	9.333333333	-0.526305595
HTJR_F	-0.386859557	-0.165584352	7.03	76.6	-9.9	17.33333333	-0.199319541
JMQL_F	-0.941984334	-0.858918213	8.89	84.8	-134.4	9	0.041054446
JMQR_F	0.147312234	-0.096191471	8.86	81.4	-130.5	15	3.096797445
JZL_F	-0.730877661	0.373339137	6.71	81.6	27.8	28	0.695642377
SRBZ_F	-0.584492942	0.429450596	6.97	66.4	-134.4	316.6666667	-0.556789898
WGT_F	-1.362670438	-0.425718891	3.1	35.5	224.8	133.333333	0.601575478
