	N	P	K	Ca	Mg	S	Al	Fe	Mn	Zn	Mo	pH
KO1	17.8	42.1	139.9	519.4	90	32.3	39	40.9	58.1	4.5	0.3	2.7
KO2	13.4	39.1	167.3	356.7	70.7	35.2	88.1	39	52.4	5.4	0.3	2.8
KO3	20.2	67.7	207.1	973.3	209.1	58.1	138	35.4	32.1	16.8	0.8	3
KO4	20.6	60.8	233.7	834	127.2	40.7	15.4	4.4	132	10.7	0.2	2.8
KO5	23.8	54.5	180.6	777	125.8	39.5	24.2	3	50.1	6.6	0.3	2.7
KO6	22.8	40.9	171.4	691.8	151.4	40.8	104.8	17.6	43.6	9.1	0.4	2.7
OE1	26.6	36.7	171.4	738.6	94.9	33.8	20.7	2.5	77.6	7.4	0.3	2.8
OE2	24.2	31	138.2	394.6	45.3	27.1	74.2	9.8	24.4	5.2	0.3	2.8
OE3	29.8	73.5	260	748.6	105.3	42.5	17.9	2.4	106.6	9.3	0.3	2.8
OE4	28.1	40.5	313.8	540.7	118.9	60.2	329.7	109.9	61.7	9.1	0.5	2.8
OE5	21.8	38.1	146.8	512.2	75	36.6	92.3	4.6	29	8.1	0.5	2.7
OE6	26.2	61.9	202.2	741.2	86.3	48.6	124.3	23.6	94.5	10.2	0.6	2.9
WT1	22.8	50.6	151.7	648	64.8	30.2	12.1	2.3	122.9	8.1	0.2	2.9
WT2	30.5	24.6	78.7	188.5	55.5	25.3	294.9	123.8	10.1	3	0.4	3.1
WT3	33.1	22.7	43.6	240.3	25.7	14.9	39	8.4	26.8	8.4	0.2	3.1
WT4	19.1	26.4	61.1	259.1	37	21.4	155.1	81.4	20.6	4	0.6	3
WT5	31.1	32.3	73.7	219	52.5	25.5	304.6	204.4	14.2	2.6	0.5	3.3
WT6	30	64.9	224.5	517.6	59.7	52.9	435.1	101.2	38	9.5	1.1	2.9
