	Longtitude	Latitude
A67	93.2	45.4
A69	93.2	45.4
A104	93.2	45.4
A107	93.2	45.4
A184	93.2	45.4
A188	93.2	45.4
A201	93.2	45.4
A222	93.2	45.4
A306	93.2	45.4
A344	93.2	45.4
A355	93.2	45.4
A358	93.2	45.4
A1A	79.08	35.97
A5A	79.08	35.97
A6A	79.08	35.97
A8A	79.08	35.97
A9A	79.08	35.97
A10A	79.08	35.97
A11A	79.08	35.97
A12A	79.08	35.97
AS1a	84.33	35.9
AS1b	84.33	35.9
AS1c	84.33	35.9
AS2a	84.33	35.9
AS2b	84.33	35.9
AS2c	84.33	35.9
A1S1	88.22	40.03
A1S2	88.22	40.03
A1S3	88.22	40.03
A4S1	88.22	40.03
A4S2	88.22	40.03
A4S3	88.22	40.03
A10S1	88.22	40.03
A10S2	88.22	40.03
A10S3	88.22	40.03
A11S1	88.22	40.03
A11S2	88.22	40.03
A11S3	88.22	40.03
A17S1	88.22	40.03
A17S2	88.22	40.03
A17S3	88.22	40.03
A24S1	88.22	40.03
A24S2	88.22	40.03
A24S3	88.22	40.03
A25S1	88.22	40.03
A25S2	88.22	40.03
A25S3	88.22	40.03
A32S1	88.22	40.03
A32S2	88.22	40.03
A32S3	88.22	40.03
A8	104.9	41.18
A12	104.9	41.18
A14	104.9	41.18
A22	104.9	41.18
A25	104.9	41.18
E23	93.2	45.4
E33	93.2	45.4
E45	93.2	45.4
E51	93.2	45.4
E147	93.2	45.4
E163	93.2	45.4
E173	93.2	45.4
E179	93.2	45.4
E250	93.2	45.4
E270	93.2	45.4
E272	93.2	45.4
E283	93.2	45.4
E2A	79.08	35.97
E3A	79.08	35.97
E4A	79.08	35.97
E7A	79.08	35.97
E2B	79.08	35.97
E3B	79.08	35.97
E4B	79.08	35.97
E7B	79.08	35.97
ES1a	84.33	35.9
ES1b	84.33	35.9
ES1c	84.33	35.9
ES2a	84.33	35.9
ES2b	84.33	35.9
ES2c	84.33	35.9
E3S1	88.22	40.03
E3S2	88.22	40.03
E3S3	88.22	40.03
E5S1	88.22	40.03
E5S2	88.22	40.03
E5S3	88.22	40.03
E14S1	88.22	40.03
E14S2	88.22	40.03
E14S3	88.22	40.03
E15S1	88.22	40.03
E15S2	88.22	40.03
E15S3	88.22	40.03
E20S1	88.22	40.03
E20S2	88.22	40.03
E20S3	88.22	40.03
E21S1	88.22	40.03
E21S2	88.22	40.03
E21S3	88.22	40.03
E28S1	88.22	40.03
E28S2	88.22	40.03
E28S3	88.22	40.03
E29S1	88.22	40.03
E29S2	88.22	40.03
E29S3	88.22	40.03
E3	104.9	41.18
E7	104.9	41.18
E11	104.9	41.18
E26	104.9	41.18
E27	104.9	41.18
