OTUId	Phylum	B1	B1-1D	B1-1L	B1-1R	B1-1U	B1-2D	B1-2L	B1-2R	B1-2U	B1-3D	B1-3L	B1-3R	B1-3U	B1-4D	B1-4L	B1-4R	B1-4U	B1-5D	B1-5L	B1-5R	B1-5U	B2	B2-1D	B2-1L	B2-1R	B2-1U	B2-2D	B2-2L	B2-2R	B2-2U	B2-3D	B2-3L	B2-3R	B2-3U	B2-4D	B2-4L	B2-4R	B2-4U	B2-5D	B2-5L	B2-5R	B2-5U	B3	B3-1D	B3-1L	B3-1R	B3-1U	B3-2D	B3-2L	B3-2R	B3-2U	B3-3D	B3-3L	B3-3R	B3-3U	B3-4D	B3-4L	B3-4R	B3-4U	B3-5D	B3-5L	B3-5R	B3-5U	T0-0	T0-1D	T0-1L	T0-1R	T0-1U	T0-2D	T0-2L	T0-2R	T0-2U	T0-3D	T0-3L	T0-3R	T0-3U	T0-4D	T0-4L	T0-4R	T0-4U	T0-5D	T0-5L	T0-5R	T0-5U	T0-6D	T0-6L	T0-6R	T0-6U	T1	T1-1D	T1-1L	T1-1R	T1-1U	T1-2D	T1-2L	T1-2R	T1-2U	T1-3D	T1-3L	T1-3R	T1-3U	T1-4D	T1-4L	T1-4R	T1-4U	T1-5D	T1-5L	T1-5R	T1-5U	T1-6D	T1-6L	T1-6R	T1-6U	HA0	DL1	UL1	UR1	DR1	UL5	UR5	DR5	DL5	DR10	UR10	UL10	DL10	DL30	DR30	UR30	UL30	DL75	DR75	UL75	UR75																																																																																			
	[Parvarchaeota] 汇总	2	3	0	6	4	2	1	2	3	7	2	1	0	2	2	1	26	1	1	0	21	2	12	20	12	5	6	12	7	8	4	10	15	13	1	1	5	17	4	3	1	6	3	2	9	6	8	9	2	4	2	1	6	6	15	2	1	3	6	1	3	1	11	1	0	1	1	0	1	3	2	1	5	0	0	2	1	2	5	1	1	3	1	4	0	2	2	2	4	0	9	4	6	2	6	1	4	2	0	4	4	0	0	5	1	3	2	1	4	1	5	1	8	1	0	0	16	0	3	0	1	9	2	10	4	0	0	17	20	7	0	0	12	27																																																																																			
	[Thermi] 汇总	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	3	0	3	1	0	0	0	0	2	0	1	0	0	27	0	1	1	0	0	0	1	2	1	3	12	9	9	7	9	7	18	3	8	20	19	9	20	11	6	7	4	11	12	5	8	10	12	5	23	5	3	12	7	8	2	8	4	8	4	3	5	14	12	6	7	4	8	20	1	6	5	19	2	3	1	0	2	0	0	3	0	0	1	6	7	3	0	0	5	16	0	0	0	2	0																																																																																			
	AC1 汇总	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																			
	Acidobacteria 汇总	6530	5863	4481	8353	11739	13285	6866	7306	16664	9383	5175	10418	8693	9440	8403	6070	9971	8748	7667	4073	12010	3115	10099	8948	8043	5657	8523	10617	6108	7016	10097	8892	5983	11355	4553	5072	4906	14590	7804	5226	7433	8098	9706	7001	4982	7923	7975	8952	5073	5219	5130	6293	7589	6242	8990	4945	4398	10928	7482	11239	6764	8548	5835	5676	5911	7506	6199	4314	8109	7618	8488	7647	8746	8041	8549	6210	9797	7135	9588	4446	5124	7364	11819	6874	6205	4898	7524	8729	11469	2659	13777	8479	9704	7155	11823	7275	11746	8110	4194	10056	16463	6127	11235	6957	8028	12713	10909	7822	8889	2857	14499	3591	10755	11461	12365	22294	19846	16239	10129	9891	14098	19620	22158	20526	13366	8251	5923	13834	25004	11840	9575	8459	10875	17846																																																																																			
	Actinobacteria 汇总	9306	9952	13248	9897	9525	14325	12076	11907	9304	14018	9325	10633	10912	12195	9347	10441	11555	9536	11024	6130	16849	5362	12181	7100	10746	13734	6935	11719	8071	12103	12227	8457	5057	12734	10539	7850	7952	12626	13207	8062	10351	14968	7409	7277	7161	12206	11852	11281	7402	11862	7435	10589	14213	8445	11770	14142	9767	12190	10650	12257	10445	11015	14531	8479	10713	13316	10460	7517	13221	13146	15880	12597	19465	15281	10174	13066	17931	12488	11778	9094	10643	18232	11753	10412	11243	9551	11313	17323	9158	8298	26464	11854	14761	11786	16667	12855	13477	14249	9062	13225	17463	9685	14369	8607	11498	15613	15983	9514	14817	4918	23180	6149	11857	6786	3006	15615	2695	2144	11122	2065	3127	1404	3727	5018	6922	8207	2877	3366	5326	6790	1790	4949	3700	927																																																																																			
	AD3 汇总	8	17	29	13	9	15	42	66	156	32	3	99	366	20	6	62	9	0	3	8	176	2	0	8	0	0	2	1	0	1	0	9	1	3	0	0	8	3	1	1	30	44	6	6	26	34	21	13	8	7	27	12	7	28	41	106	7	80	9	8	4	27	23	407	326	344	770	255	599	248	864	254	809	319	41	500	69	132	88	68	337	197	62	53	189	144	265	193	90	40	281	49	88	119	116	224	1055	218	77	65	137	49	820	234	150	131	76	61	941	186	551	80	99	853	422	2757	377	501	757	58	51	586	222	155	1050	229	233	405	354	203	384	221	460	230																																																																																			
	Aquificae 汇总	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	548	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	4	0	0	0	0	0	1	0	1	0	3	0	0	1	1	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																			
	Armatimonadetes 汇总	123	98	100	115	113	170	156	314	194	233	97	152	190	161	112	57	122	66	59	27	309	48	166	140	141	93	107	87	78	54	125	98	64	198	25	43	67	228	72	54	100	1044	198	148	136	189	156	125	72	119	80	97	201	95	127	120	104	273	161	287	156	98	153	235	340	313	210	210	406	435	349	268	451	498	360	290	457	301	263	183	296	462	412	166	359	248	345	363	513	92	631	282	483	322	406	332	332	329	128	255	459	262	307	191	336	326	415	247	371	80	539	160	304	114	108	227	468	278	182	50	166	389	215	342	105	48	95	425	1014	401	89	340	98	146																																																																																			
	Bacteroidetes 汇总	3896	2997	5319	1788	2001	3110	2629	5777	4251	3525	2650	3770	2877	2202	1794	2911	2794	3057	2134	1862	4590	2398	5832	4499	7462	4217	2936	4575	4168	4510	6787	1990	2917	3626	2265	2982	2421	4731	4266	4235	2483	2729	3362	3091	2534	3406	2662	4082	2156	2950	1615	2889	3814	2343	1645	1237	2997	3506	2449	8210	4144	2682	3767	4314	4616	5553	3027	3302	5216	5295	6225	6017	5610	7381	4436	7061	8071	4459	3557	3086	4334	7616	6768	5171	3913	3899	4965	7715	5212	2538	10938	3577	7274	3865	10430	4147	4783	4241	3783	2898	7183	4770	5614	3927	5717	6853	7620	3322	5506	1758	9047	5044	6075	529	845	2295	2913	664	2080	668	1376	1377	928	3405	2046	705	1139	3752	3972	2200	327	5474	970	1741																																																																																			
	BHI80-139 汇总	0	1	0	3	2	3	2	1	0	0	1	1	0	1	3	2	3	2	2	2	1	2	5	2	1	0	0	3	0	2	3	2	0	5	1	2	4	4	1	0	1	5	4	1	1	1	5	2	2	1	1	1	1	0	3	5	1	14	1	0	1	0	4	9	8	3	3	2	4	1	6	2	7	5	5	3	4	0	6	1	5	5	6	4	5	2	7	3	4	1	9	4	8	4	8	12	6	5	1	7	8	6	4	7	6	7	3	3	4	1	4	3	2	2	1	17	40	7	7	1	5	0	11	2	3	5	2	18	20	13	5	4	19	7																																																																																			
