 OTUID	A1	A2	A3	A4	A5	SQ1	SQ2	SQ3	SQ4	SQ5	LS1	LS2	LS3	LS4	LS5	YB1	YB2	YB3	YB4	YB5	PL1	PL2	PL3	PL4	PL5	HX1	HX2	HX3	HX4	HX5
OTU_1	400	5421	1364	2961	9968	17436	118	2700	7758	3067	11041	252	1260	11791	1952	567	12818	580	9796	3075	12133	17502	5660	2434	13709	1154	1274	1913	5414	330
OTU_2	26	1823	23	1717	20	1303	99	622	23318	773	2503	102	17599	5343	81	1409	96	224	121	246	130	1526	11523	82	54	64	914	41	374	570
OTU_3	383	8781	7599	5068	10785	8201	430	2014	5698	3010	17272	1028	5008	11943	1828	741	567	3271	1901	1597	697	8415	8859	1698	9125	1462	1653	4556	1998	749
OTU_4	269	624	14	5	12	5	640	20	23	794	33	1323	847	181	16552	643	13	276	2908	548	34	4	111	9	96	2255	1412	8704	15	4502
OTU_5	1262	1197	1925	2981	622	185	2752	1399	30	3706	702	1168	211	103	3349	845	659	442	7427	725	536	1265	2300	484	2626	2944	2400	281	192	824
OTU_6	36	363	37	409	2739	9937	190	1241	7668	2513	2755	45	2274	4479	3158	698	17592	788	3881	413	9225	14701	3259	509	4471	407	450	463	3419	75
OTU_7	30	73	9	0	10	92	769	13	7	1799	9	358	1279	168	1308	3043	61	7040	6441	3078	645	55	199	2927	471	3379	3039	3232	13	6124
OTU_8	88	340	311	7262	1548	3598	91	162	438	148	7016	59	269	22	133	341	3898	493	122	752	1900	1719	3137	842	306	240	312	54	519	114
OTU_9	6	13	3655	21	74	107	124	20940	1149	1003	108	100	45	6	186	9	265	22	3	8	2265	9	151	209	16	174	267	33	19992	650
OTU_10	860	725	84	76	208	31	1339	25	5	1335	78	1139	139	75	741	16086	221	4838	3519	13392	433	186	956	3472	2059	1081	1766	1795	21	1415
OTU_11	19	140	7	2	26	6	1377	6	1	341	98	2942	461	79	2317	1299	100	7137	756	2391	1947	42	467	1257	210	735	1519	5841	6	4040
OTU_12	6034	1152	1219	516	602	49	1958	156	19	596	52	1339	581	191	1202	1516	54	810	799	1552	188	80	360	827	643	1408	3510	1636	58	1563
OTU_13	81	279	139	363	266	528	254	5400	1688	1799	2229	388	1700	3178	596	211	201	223	308	436	992	1650	1748	463	4415	11036	1043	316	14735	365
