"","ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs"
"DF1",15,1713.005744,1644.32032974136,262.893519561583,640,0.261267049766703,0.64,999
"DF2",11,1351.174564,1309.13094465815,235.737168662852,676,0.178349555907254,0.676,999
"DF3",15,1942.521988,1655.3874438595,272.035638459877,725,1.05550341038442,0.725,999
"DF4",11,1409.754807,1289.09907194397,222.179802805387,751,0.543054469994826,0.751,999
"DH1",4,754.684195,575.95835933299,144.966174009653,911,1.23287957958461,0.911,999
"DH2",4,833.016566,580.236937684536,150.074054468726,905,1.68436595659605,0.905,999
"DS1",12,1423.798238,1382.59829918954,229.186279109717,656,0.179766166502202,0.656,999
"DS2",6,939.874265,810.183574012487,179.309249634228,855,0.723279425083023,0.855,999
"SF1",8,1255.509025,1021.27869717578,201.806812605097,806,1.16066610834676,0.806,999
"SF2",7,1137.751985,920.597239113542,197.572117864527,831,1.0991163542386,0.831,999
"SF3",9,1057.302837,1120.83649812632,207.96301605116,446,-0.305504614871936,0.446,999
"SF4",7,1197.286317,917.368955355346,192.36703108276,836,1.45512128595585,0.836,999
"SF5",5,857.216804,701.033152165625,168.202578216466,870,0.928544933677394,0.87,999
"SF6",3,663.206141,461.238399055894,151.319321365668,914,1.33471218428243,0.914,999
"SH1",4,779.903348,587.984415410678,161.347466782749,893,1.18947595779571,0.893,999
"SS1",8,991.945772,1025.77936743066,209.356349362999,519,-0.161607687245222,0.519,999
"SS2",7,815.124044,918.282100175236,191.513917367118,252,-0.538645220114681,0.252,999
"SS3",7,1055.978899,918.389487954262,194.114676538955,843,0.708804782301594,0.843,999
"SS4",6,957.606074,804.934977131606,182.433055006833,862,0.836860934344795,0.862,999
"WF1",14,1826.892726,1564.45871111075,255.633574670113,727,1.02660229677544,0.727,999
"WF10",14,1624.196692,1564.108141274,260.711109976204,650,0.230479440371691,0.65,999
"WF11",15,1750.953616,1651.04846909628,260.03066997082,659,0.384205243615804,0.659,999
"WF12",12,1456.215354,1405.13965191542,242.450842961361,670,0.210664155507689,0.67,999
"WF13",10,1379.184932,1203.60470410159,219.383519658764,789,0.800334629381077,0.789,999
"WF14",14,1786.025204,1571.10668140494,262.59549313587,709,0.818439494252317,0.709,999
"WF15",14,1288.436216,1557.11030717783,253.967185166412,89,-1.05790868612328,0.089,999
"WF16",15,1738.165013,1637.79109561573,259.162538229855,659,0.387301027647951,0.659,999
"WF17",17,1724.835506,1802.66484047523,280.832876450978,441,-0.277137546923966,0.441,999
"WF18",6,978.720424,807.082471875262,183.953214906314,849,0.933052201409753,0.849,999
"WF19",9,1235.694722,1111.97812249413,210.998204984124,779,0.586339582913411,0.779,999
"WF2",16,1347.300221,1719.73527225308,256.289824514238,25,-1.45317923549629,0.025,999
"WF20",3,615.232391,449.196864001012,146.45059949576,930,1.13373060657082,0.93,999
"WF21",5,917.719794,698.179579459938,169.856314624996,873,1.29250546277751,0.873,999
"WF3",13,1515.170071,1484.97187482327,250.28803436008,609,0.120653774975451,0.609,999
"WF4",16,1357.260216,1728.24770909688,261.286481124619,28,-1.41984955172611,0.028,999
"WF5",13,1638.457613,1494.20457256783,254.629368581461,682,0.566521612317539,0.682,999
"WF6",8,1197.717571,1018.12609952004,205.452212089512,818,0.874127709083573,0.818,999
"WF7",13,1472.913905,1477.13649105212,253.675153190082,594,-0.0166456430557599,0.594,999
"WF8",12,1464.830033,1394.19902392333,244.82031728049,679,0.288501419576841,0.679,999
"WF9",12,1317.493175,1376.93077947046,239.755847109237,460,-0.247908883921311,0.46,999
"WH1",6,928.51855,801.192327876955,171.61871392868,865,0.741913391659364,0.865,999
"WH10",3,698.151051,445.521824291539,146.117094707684,924,1.72895051885517,0.924,999
"WH11",5,918.557429,698.896903117769,174.830078391582,873,1.25642296739259,0.873,999
"WH12",4,821.322441,571.631700598563,147.26596752397,913,1.69550877639666,0.913,999
"WH13",6,939.307774,810.695185875,180.260221357208,854,0.713482914625619,0.854,999
"WH14",7,1079.55797,910.558797144041,186.585082185017,850,0.905748577951048,0.85,999
"WH15",9,1033.763231,1114.63591929281,213.505652584789,374,-0.378784764308266,0.374,999
"WH16",6,871.671648,812.613635502083,173.69680105944,795,0.340006333667059,0.795,999
"WH17",6,879.845838,811.837368245851,173.474898562691,816,0.392036371357626,0.816,999
"WH18",5,709.168444,703.551038607254,171.056499449226,571,0.032839473570623,0.571,999
"WH19",7,1103.334436,909.968904611458,185.784253620495,850,1.04080689089794,0.85,999
"WH2",3,627.402651,448.11439985947,147.745467564748,922,1.21349408611779,0.922,999
"WH20",6,872.261637,803.323282552549,178.859201731819,819,0.385433647136683,0.819,999
"WH21",5,882.774801,696.472161515963,164.204703437674,890,1.13457553641118,0.89,999
"WH22",3,663.206064,450.956109714139,141.606677023,924,1.49886967724966,0.924,999
"WH23",5,846.675995,695.047792180124,169.240538376061,883,0.895933115521947,0.883,999
"WH24",7,878.428863,917.014795970984,190.938196558313,462,-0.202085982095259,0.462,999
"WH25",4,699.031244,580.482076720573,148.357565846049,913,0.79907732782867,0.913,999
"WH26",7,965.282484,915.071723588173,191.517755250996,737,0.262172874499403,0.737,999
"WH27",7,1028.027501,919.643340700524,198.357648905244,816,0.546407768481123,0.816,999
"WH28",7,859.098412,915.089548343127,191.593299069619,393,-0.292239533506763,0.393,999
"WH29",8,1051.800693,1019.85572406977,199.533724524317,708,0.160098093725201,0.708,999
"WH3",6,911.837766,813.808465876161,187.881729416018,845,0.521760686515597,0.845,999
"WH30",3,698.151101,453.318614069672,152.103726558899,912,1.60964160753498,0.912,999
"WH31",4,814.848168,586.208678976215,165.168255851485,880,1.3842822753385,0.88,999
