.	WF1	WF2	WF3	WF4	WF5	WF6	WF7	WF8	WF9	WF10	WF11	WF12	WF13	WF14	WF15	WF16	WF17	WF18	WF19	WF20	WS1	WS2	WS3	WS4	WS5	WS6	WS7	WS8	WS9	WS10	WS11	WS12	WS13	WS14	WS15	WS16	WS17	WS18	WS19	WS20	WS21	WS22	WS23	WS24	WS25	WS26	WS27	WF21	WS29	WS30	WS28	WH1	WH2	WH3	WH4	WH5	WH6	WH7	WH8	WH9	WH10	WH11	WH12	WH13	WH14	WH15	WH16	WH17	WH18	WH19	WH20	WH21	WH22	WH23	WH24	WH25	WH26	WH27	WH28	WH29	WH30	WH31	WH32	WH33	WH34	WH35	SF1	SF2	SS2	SS3	SS4	SF3	SF4	SF5	SF6	SH1	SS1	DH1	DH2	DF1	DF2	DF3	DF4	DS1	DS2
WF1	280.463593	268.868317	259.603394	269.321991	260.547424	300.335724	267.112701	266.354767	266.921631	271.204834	268.644409	255.476120	270.444824	262.922424	275.104706	270.491821	250.758484	262.486908	253.085602	246.133514	271.784851	269.921265	261.773224	271.087189	247.760986	260.052338	287.508118	347.458191	268.882904	264.083832	247.505280	254.195999	279.181030	274.886719	267.652435	267.341034	262.928833	297.292877	280.194366	286.677185	295.581451	241.813538	294.273590	277.348572	271.202881	261.151886	274.855560	275.618958	365.832642	298.433258	283.178284	288.122650	246.605057	245.427216	327.947845	264.785797	295.779968	296.344849	276.095795	296.730835	291.326019	271.795532	304.794098	264.401855	330.860901	289.357452	283.497498	284.868500	347.908081	299.668518	288.563568	298.643494	333.635803	302.562256	299.489990	311.317322	299.084290	282.129059	247.825516	277.299316	285.464905	278.092529	248.357162	281.800232	289.445465	304.161652	263.714203	271.057983	279.116028	284.876648	269.532867	273.983734	311.700958	274.393066	326.558685	311.698456	257.884460	275.265198	308.414948	262.220886	251.985764	284.957153	286.357208	260.887238	265.248108
WF2	268.868256	247.232010	247.067352	238.943710	252.196304	275.023010	256.453522	251.943436	258.667053	263.149597	259.211304	248.671936	270.344666	257.532074	257.113708	264.132690	240.625793	248.796143	245.633652	263.123932	270.100037	254.518921	254.730042	251.643433	231.013718	256.885071	270.439331	317.864258	254.506882	233.859985	235.342468	251.670090	261.038788	259.439636	254.019928	242.983353	255.471390	261.336121	264.542328	242.710373	258.854065	229.527466	267.584900	260.740295	244.501343	247.927505	255.658936	249.617798	355.207825	271.969971	247.469131	251.825821	243.608826	239.732056	283.274139	256.091156	260.522888	269.150085	235.523636	265.442413	280.878937	250.801270	281.606232	250.595276	297.880524	251.684952	257.907745	258.450592	311.124603	286.469391	244.835068	260.220398	302.829987	275.413849	256.895050	271.291901	258.257599	270.099335	246.277939	257.172363	271.657867	263.980957	239.150711	236.473007	247.437820	260.616180	249.502823	255.328400	234.483246	274.129547	248.967667	239.912872	290.965454	243.340500	285.459869	278.287262	239.016907	230.447144	282.943115	248.366608	252.617386	274.847809	262.196045	254.340286	251.489243
WF3	259.603394	247.067245	257.628998	249.601501	250.308548	283.704437	254.347748	250.161652	251.201767	262.043701	255.087006	243.954300	262.449066	251.957993	263.270416	264.675018	241.061203	253.445435	243.822769	239.059967	257.231567	253.234436	256.951721	259.825134	232.569351	251.627548	278.539886	334.418030	259.386566	240.730591	228.987701	249.460541	260.511017	257.188202	251.759293	250.420349	250.328125	276.027863	267.930969	261.785889	275.832214	223.363632	276.306885	261.764801	251.768448	247.897232	256.245544	259.863800	354.521729	281.955109	260.387512	269.208405	239.618668	237.958130	306.468262	247.666489	274.252869	281.174408	247.167267	277.242401	279.992615	255.571579	291.290314	251.874023	315.568726	271.228729	265.699799	267.508881	328.610352	289.827759	265.152283	280.803955	316.340363	287.374634	279.381073	287.852814	276.271820	271.199188	240.203186	264.501190	275.178772	266.161987	239.564407	254.141296	267.464813	277.471405	251.889175	257.429077	251.179260	275.391479	248.643448	253.856537	295.119537	255.553574	300.446808	297.181763	242.363113	247.211456	295.454987	247.178482	242.554062	275.232666	269.035980	246.376953	250.212296
WF4	269.322083	238.943802	249.601639	254.723526	254.862869	278.720337	257.172913	254.941910	256.632660	261.511566	261.114655	251.902771	271.482361	258.070740	258.253326	262.840668	243.245026	251.145004	249.707443	261.297791	269.790466	255.345169	257.272736	254.278244	236.297806	259.907257	270.258026	322.116608	256.698151	240.579529	238.900284	248.731064	266.014832	263.058289	256.847595	246.874695	257.759857	265.155365	263.946106	247.768555	262.982483	234.989716	271.313293	265.380432	248.018478	248.468002	258.873535	252.227371	355.804443	275.458588	254.433777	256.467926	239.802246	241.842285	285.439789	258.713928	264.889801	271.736420	240.611847	267.561157	284.481171	250.636063	285.394531	252.786209	301.064148	257.187317	260.123901	260.524017	310.666199	286.201324	249.575394	264.701538	302.316986	278.323669	264.477509	273.962494	262.299286	270.203033	250.231293	261.658630	275.260132	266.491943	236.784119	243.767059	252.920059	263.383667	250.211807	256.904816	240.948334	275.021240	252.750305	245.912079	293.513092	248.069580	286.476288	280.703430	245.751205	237.668350	286.191040	251.021240	253.082336	277.363647	266.966339	253.960281	255.161514
WF5	260.547485	252.196182	250.308594	254.862717	264.685455	290.400574	259.126099	258.602600	257.101990	264.692230	260.530670	246.631165	267.346130	254.581039	262.976959	265.208984	238.897675	259.394928	244.886200	246.245895	270.224792	266.200684	260.084290	258.022736	238.861282	254.140610	286.208374	333.279633	264.744720	248.191788	237.462967	247.338943	271.348236	270.236664	266.958344	258.757751	264.634277	286.107971	265.673645	269.581970	280.361328	236.025055	284.434418	269.112671	259.917175	253.967224	262.797668	263.582825	361.766388	288.803680	269.070404	274.112793	238.173706	242.381454	310.657440	262.932220	279.604340	282.985382	256.624786	282.360962	282.244507	256.650391	296.329681	257.616150	317.931030	274.375916	273.326538	273.659119	334.370270	292.814758	272.084625	283.910278	320.735168	291.170563	279.417572	294.203217	283.934509	274.068695	241.306335	267.266022	280.626617	274.911072	232.632507	261.209991	271.639465	287.184113	254.511871	256.937469	260.114105	274.501862	258.058411	256.486786	305.364288	257.940247	312.336426	299.423065	249.456024	255.378586	298.314148	251.905273	239.700882	278.720825	271.913757	251.788162	253.234833
WF6	300.335754	275.022980	283.704498	278.720306	290.400635	318.828827	293.284912	290.953613	291.730194	295.714905	294.858856	294.071930	300.093262	294.450500	288.403473	297.302795	290.176086	287.543945	290.337189	303.282501	301.162720	289.099060	286.718597	291.049103	287.621765	297.961823	293.584747	346.097107	293.698669	276.551422	287.298767	299.160278	291.310303	288.497009	287.218048	283.267456	288.826874	278.513611	292.814148	272.233154	279.714844	282.486908	288.313507	284.237885	277.976379	292.660431	292.895477	286.879913	367.272400	283.420258	273.155029	284.919067	291.738922	291.792999	277.003448	281.630035	278.678192	283.655823	273.750916	287.399536	311.790253	284.075928	293.144073	286.112091	292.388123	282.181366	280.991302	281.536438	294.958496	302.185242	273.676697	285.170471	296.122101	288.060028	279.858887	276.036469	279.237610	292.796631	293.376892	287.031311	297.790985	298.042450	282.822693	269.598114	275.372589	276.013885	286.993805	291.533142	267.728851	300.554443	287.081696	274.412872	295.290497	281.949677	285.671814	292.938812	281.602203	264.789764	296.677734	289.521057	294.319244	301.047028	291.533600	293.294708	293.036652
WF7	267.112610	256.453430	254.347610	257.172791	259.126007	293.284943	259.874969	249.287415	252.597534	254.504578	255.320084	245.690475	256.072693	253.603638	259.932281	254.922913	251.549622	261.513245	254.830338	233.755783	266.163544	248.239655	259.070862	259.642700	237.633652	252.188965	260.321899	332.525055	249.460907	249.587006	237.908539	237.459274	275.439178	275.555786	261.504730	257.972473	254.464355	281.465149	267.719116	268.506439	279.356659	234.403183	280.443024	265.636932	255.633194	240.417328	265.960114	261.167786	352.811859	283.005371	276.490631	273.788452	239.728256	238.714432	298.373566	264.134216	275.716095	275.870789	260.143158	280.476532	282.130310	256.330688	288.249390	252.522385	315.323547	272.554382	264.176422	267.144165	319.983459	282.438293	267.836975	279.366089	309.044556	281.828674	285.958405	284.091644	279.289093	263.048798	238.679672	265.416321	272.162445	259.938202	249.607941	265.651520	270.353760	284.803558	255.242111	251.767654	265.176910	281.889435	257.946716	263.888458	306.189789	262.474579	302.094757	291.757782	256.335938	261.621582	293.716339	253.475052	254.036148	279.591339	275.845337	252.337769	256.406982
WF8	266.354736	251.943420	250.161606	254.941757	258.602600	290.953583	249.287476	264.266632	255.580429	258.324982	254.845032	244.081238	258.960663	254.851929	262.464539	261.148743	248.472748	261.737305	251.207977	242.344620	261.839386	253.848206	254.946640	262.016785	231.381119	249.714523	270.542633	333.539246	255.986786	242.313446	236.243774	245.536209	266.575104	267.171417	258.253265	256.364075	252.259033	280.784485	275.975922	265.758636	279.379395	224.876602	277.559875	263.029236	250.939209	245.814560	263.029327	261.181244	354.821350	283.603363	268.515320	270.261139	239.170441	236.746124	304.967194	258.205627	275.695343	280.702637	252.074844	278.394379	283.942383	255.884445	287.625885	250.930664	315.515076	273.005432	263.940399	267.020386	327.210541	287.569489	267.529816	281.022980	315.945618	284.722198	281.621429	288.317200	279.034607	269.334900	240.688431	263.725952	269.182617	259.838715	250.755585	258.830963	269.529510	281.230835	256.697296	256.718689	257.175964	282.136230	253.005890	259.432983	302.556305	257.880554	301.795776	295.544983	247.468521	253.395676	293.877899	252.375168	254.002426	276.989288	270.976837	252.638367	248.890350
WF9	266.921631	258.667053	251.201797	256.632568	257.101898	291.730255	252.597702	255.580627	262.732239	258.648529	257.304352	250.141678	264.160797	257.614899	257.673279	261.077698	248.199768	270.300415	254.962051	237.685028	258.599304	255.836624	262.313995	261.869568	242.284988	257.813507	265.986389	336.233124	257.417938	250.025803	247.762863	244.794235	275.247925	274.811768	265.681671	263.475830	258.606232	282.227173	260.072571	268.045349	279.931671	234.718399	280.068848	268.701233	255.949646	250.733582	274.185547	263.900726	355.142761	283.993011	275.194092	275.553253	233.223007	244.154236	293.862549	264.702820	273.905396	276.950623	260.360504	280.116821	291.683716	250.844421	286.311554	254.584686	312.298615	275.328339	263.603851	267.066193	314.509430	283.744781	269.096283	282.280945	304.385132	279.689880	284.492523	281.549133	279.271454	262.858276	247.318405	266.063995	271.804077	265.244598	246.787033	263.759827	270.874969	282.032257	255.917847	256.758362	262.338928	278.692749	259.211792	263.387909	304.356293	262.518188	297.636780	293.187836	257.268799	259.572662	292.689636	254.618271	249.253220	282.792603	275.771088	253.419128	265.366486
WF10	271.204712	263.149597	262.043671	261.511444	264.692169	295.714935	254.504639	258.325043	258.648438	277.784760	261.880890	251.993195	264.593628	260.733734	266.092163	261.106354	255.970367	268.461761	260.472931	248.464630	271.608612	260.072052	261.682373	269.091278	248.184418	259.327850	269.863403	339.920013	257.451721	256.451721	251.677078	247.234512	281.284851	280.997894	269.737396	265.021729	263.179871	287.017731	274.035309	274.282715	285.255035	243.118896	284.112000	273.349609	261.627899	250.030289	275.776062	267.713470	359.084900	288.321777	281.516174	280.309143	243.772598	246.807663	301.709930	271.124176	281.392151	283.025665	265.486420	285.143829	293.862091	260.505096	293.226959	260.228851	315.907837	278.375031	270.081696	272.995636	321.610779	288.566101	274.323883	286.315125	311.756897	287.070801	290.931488	289.056458	284.841644	270.503082	252.360428	272.844025	278.799194	269.211853	255.348450	271.176880	276.629669	287.667999	261.951294	262.078430	270.065796	286.394470	265.718048	270.627197	309.636963	268.897949	303.198822	296.300842	263.978485	266.964813	298.707367	262.372467	258.974670	285.013855	282.106140	260.789429	265.990173
