sample	ntaxa	PD	treeBL	propTreeBL
WF1	14	1826.893	9806.685	0.186  
WF2	16	1347.300	9806.685	0.137  
WF3	13	1515.170	9806.685	0.155  
WF4	16	1357.260	9806.685	0.138  
WF5	13	1638.457	9806.685	0.167  
WF6	8	1197.718	9806.685	0.122  
WF7	14	1472.914	9806.685	0.150  
WF8	12	1464.830	9806.685	0.149  
WF9	12	1317.493	9806.685	0.134  
WF10	14	1624.196	9806.685	0.166  
WF11	15	1750.954	9806.685	0.179  
WF12	12	1456.215	9806.685	0.148  
WF13	10	1379.185	9806.685	0.141  
WF14	14	1786.025	9806.685	0.182  
WF15	14	1288.436	9806.685	0.131  
WF16	15	1738.165	9806.685	0.177  
WF17	17	1724.835	9806.685	0.176  
WF18	6	978.721	9806.685	0.100  
WF19	9	1235.695	9806.685	0.126  
WF20	3	615.232	9806.685	0.063  
WS1	4	815.686	9806.685	0.083  
WS2	5	921.844	9806.685	0.094  
WS3	6	992.548	9806.685	0.101  
WS4	6	988.577	9806.685	0.101  
WS5	7	965.995	9806.685	0.099  
WS6	8	1204.525	9806.685	0.123  
WS7	3	698.151	9806.685	0.071  
WS8	8	1317.169	9806.685	0.134  
WS9	6	982.844	9806.685	0.100  
WS10	6	927.997	9806.685	0.095  
WS11	4	686.972	9806.685	0.070  
WS12	8	1122.934	9806.685	0.115  
WS13	7	1086.339	9806.685	0.111  
WS14	4	801.022	9806.685	0.082  
WS15	5	887.675	9806.685	0.091  
WS16	11	1360.565	9806.685	0.139  
WS17	6	956.818	9806.685	0.098  
WS18	7	1018.596	9806.685	0.104  
WS19	8	1096.299	9806.685	0.112  
WS20	9	937.296	9806.685	0.096  
WS21	10	1168.214	9806.685	0.119  
WS22	5	729.018	9806.685	0.074  
WS23	12	1495.798	9806.685	0.153  
WS24	7	1118.921	9806.685	0.114  
WS25	4	801.023	9806.685	0.082  
WS26	11	1432.708	9806.685	0.146  
WS27	4	801.023	9806.685	0.082  
WF21	5	917.720	9806.685	0.094  
WS29	14	1996.731	9806.685	0.204  
WS30	7	1064.935	9806.685	0.109  
WS28	6	924.460	9806.685	0.094  
WH1	6	928.519	9806.685	0.095  
WH2	3	627.403	9806.685	0.064  
WH3	6	911.838	9806.685	0.093  
WH4	6	711.684	9806.685	0.073  
WH5	5	877.974	9806.685	0.090  
WH6	5	803.967	9806.685	0.082  
WH7	5	814.827	9806.685	0.083  
WH8	4	754.684	9806.685	0.077  
WH9	5	885.243	9806.685	0.090  
WH10	3	698.151	9806.685	0.071  
WH11	5	918.557	9806.685	0.094  
WH12	4	821.323	9806.685	0.084  
WH13	6	939.308	9806.685	0.096  
WH14	7	1079.558	9806.685	0.110  
WH15	9	1033.763	9806.685	0.105  
WH16	6	871.672	9806.685	0.089  
WH17	6	879.846	9806.685	0.090  
WH18	5	709.169	9806.685	0.072  
WH19	8	1103.334	9806.685	0.113  
WH20	6	872.262	9806.685	0.089  
WH21	5	882.775	9806.685	0.090  
WH22	3	663.206	9806.685	0.068  
WH23	5	846.676	9806.685	0.086  
WH24	7	878.429	9806.685	0.090  
WH25	4	699.031	9806.685	0.071  
WH26	7	965.283	9806.685	0.098  
WH27	7	1028.028	9806.685	0.105  
WH28	7	859.098	9806.685	0.088  
WH29	8	1051.801	9806.685	0.107  
WH30	3	698.151	9806.685	0.071  
WH31	4	814.848	9806.685	0.083  
WH32	3	627.403	9806.685	0.064  
WH33	7	844.046	9806.685	0.086  
WH34	9	1008.324	9806.685	0.103  
WH35	6	817.153	9806.685	0.083  
SF1	8	1255.509	9806.685	0.128  
SF2	7	1137.752	9806.685	0.116  
SS2	7	815.124	9806.685	0.083  
SS3	7	1055.979	9806.685	0.108  
SS4	6	957.606	9806.685	0.098  
SF3	9	1057.303	9806.685	0.108  
SF4	7	1197.286	9806.685	0.122  
SF5	5	857.217	9806.685	0.087  
SF6	3	663.206	9806.685	0.068  
SH1	4	779.903	9806.685	0.080  
SS1	8	991.946	9806.685	0.101  
DH1	4	754.684	9806.685	0.077  
DH2	4	833.017	9806.685	0.085  
DF1	15	1713.005	9806.685	0.175  
DF2	11	1351.174	9806.685	0.138  
DF3	15	1942.522	9806.685	0.198  
DF4	11	1409.755	9806.685	0.144  
DS1	12	1423.798	9806.685	0.145  
DS2	6	939.874	9806.685	0.096  
