 OTUID	N1_40	E3_60	E1_0	N2_0	E3_40	E2_60	N2_40	E3_0	E2_40	E1_40	N3_60	N1_60	N1_0	N2_60	E1_60	E2_0	N3_0	N3_40
OTU_115	374	3	3	69	6	6	373	4	8	8	74	36	48	20	1	2	51	356
OTU_10	165	11920	160	363	123	12550	113	358	105	107	125	152	179	110	7404	266	253	121
OTU_1736	1	0	52	3	0	0	1	12	0	1	0	0	0	1	2	64	0	0
OTU_6	161	7109	105	481	527	6260	106	130	777	193	1216	5135	658	79	9519	164	385	231
OTU_2446	51	1072	57	139	13	842	46	74	20	12	128	868	168	61	3064	76	105	35
OTU_26	975	122	49	2247	245	188	1117	69	97	84	2836	721	1643	641	59	68	2290	1403
OTU_315	22	13	8	14	22	10	29	14	12	16	16	18	15	25	11	19	10	16
OTU_43	2098	19	6	57	47	17	1603	29	43	49	81	93	77	107	17	24	61	819
OTU_122	67	52	100	90	54	72	56	97	56	38	86	76	83	41	56	110	79	47
OTU_5	551	214	7579	2490	796	196	296	3200	913	751	181	339	9034	85	280	4024	12376	578
OTU_3	243	164	27584	9661	150	155	144	23402	172	108	183	194	9263	167	135	26955	9479	185
OTU_31	2021	29	5	6	1360	29	2767	6	2143	749	14	58	4	7	20	2	6	776
OTU_57	235	76	38	713	39	95	164	28	25	12	417	394	699	100	36	27	666	191
OTU_1	6546	24860	6853	4517	9854	23440	20967	3630	28992	38729	6765	6890	1195	2114	29296	4142	2547	10348
OTU_22	756	226	125	1658	239	278	672	171	139	102	4209	2246	1300	490	121	252	1636	1330
OTU_2737	59	44	122	11	1	5	10	2	15	48	9	79	42	6	267	38	6	1
OTU_9	984	6732	558	353	1379	8203	1317	4294	2454	1045	4683	3936	230	613	1032	1930	766	3375
OTU_151	90	5	9	152	2	6	73	10	8	4	310	98	115	75	2	10	118	107
OTU_67	475	29	12	191	57	39	372	4	62	48	2001	1252	135	62	31	10	182	640
OTU_25	21	11	6	6	11	6	205	5	7	7	37	197	8	3923	6	2	8	10
OTU_100	83	81	491	207	57	89	73	406	66	64	100	108	202	79	68	424	233	76
OTU_1753	24	55	3	13	3	28	17	11	13	26	55	252	4	8	14	16	2	15
OTU_1390	2	1	0	2	2	1	2	0	1	0	0	1	2	1	1	1	2	4
OTU_21	210	79	149	5362	118	65	115	105	134	124	347	879	8793	37	109	87	4750	154
OTU_89	203	13	4	14	11	10	67	7	6	8	233	312	10	443	7	9	12	45
OTU_262	50	49	25	28	111	64	46	49	80	33	40	25	21	53	23	38	36	54
OTU_1673	3	3	4	4	2	0	0	5	0	7	5	2	3	2	6	3	0	0
OTU_7	1546	440	246	448	13998	482	1239	322	6432	12236	472	401	439	979	598	285	374	1191
OTU_4	940	607	12138	5325	292	812	939	20306	176	177	518	484	4892	350	1220	13565	6674	946
OTU_1694	111	356	35	17	55	196	172	20	99	126	295	300	7	50	158	28	9	64
OTU_442	21	12	19	17	13	11	10	12	7	12	17	11	16	8	14	19	18	16
OTU_2	9681	617	338	601	711	576	5130	445	553	886	1612	1935	593	44197	446	453	509	5331
OTU_2021	577	1102	601	369	378	1037	1303	226	1091	1219	585	437	65	159	1257	323	124	483
OTU_81	191	383	272	160	169	397	251	247	296	342	303	290	85	108	356	249	103	206
OTU_13	4531	172	252	419	3430	144	3138	151	765	1263	124	246	561	129	210	160	541	3278
OTU_124	159	5	0	131	13	4	134	1	7	3	91	22	110	7	6	0	114	321
OTU_64	14	7	1138	1	17	2	6	628	27	14	12	6	2	5	11	1050	7	12
OTU_16	88	244	93	5485	60	214	82	974	49	51	81	64	404	62	161	2924	1064	89
OTU_1308	34	25	6	6	12	14	32	8	9	9	369	205	6	91	12	4	5	29
OTU_282	25	71	18	123	20	132	18	14	41	11	242	114	162	15	32	15	93	56
OTU_8	6013	238	151	203	3207	219	6323	215	3813	1313	380	460	174	396	246	194	168	11096
OTU_24	1409	517	67	64	1275	468	1012	82	967	521	800	1352	84	186	632	48	45	1527
OTU_20	258	157	253	6855	59	72	157	124	80	130	89	208	7375	166	196	226	4975	113
OTU_60	70	90	12	15	922	93	15	16	938	516	16	22	15	12	68	16	12	20
OTU_34	33	56	3312	266	201	48	35	2857	261	74	31	58	240	34	51	3301	320	49
OTU_319	21	14	13	10	27	10	14	6	15	13	25	12	7	8	22	12	13	17
OTU_49	74	74	34	32	21	96	456	34	32	44	849	1616	17	73	124	23	34	415
OTU_332	364	2	4	60	17	7	309	3	8	9	200	234	46	94	12	4	64	385
OTU_85	122	162	113	110	115	159	120	118	163	153	168	140	81	74	132	95	96	131
