 OTUID	N1_0	N2_0	N3_0	N1_40	N2_40	N3_40	N1_60	N2_60	N3_60	E1_0	E2_0	E3_0	E1_40	E2_40	E3_40	E1_60	E2_60	E3_60
OTU_115	48	69	51	374	373	356	36	20	74	3	2	4	8	8	6	1	6	3
OTU_10	179	363	253	165	113	121	152	110	125	160	266	358	107	105	123	7404	12550	11920
OTU_1736	0	3	0	1	1	0	0	1	0	52	64	12	1	0	0	2	0	0
OTU_6	658	481	385	161	106	231	5135	79	1216	105	164	130	193	777	527	9519	6260	7109
OTU_2446	168	139	105	51	46	35	868	61	128	57	76	74	12	20	13	3064	842	1072
OTU_26	1643	2247	2290	975	1117	1403	721	641	2836	49	68	69	84	97	245	59	188	122
OTU_315	15	14	10	22	29	16	18	25	16	8	19	14	16	12	22	11	10	13
OTU_43	77	57	61	2098	1603	819	93	107	81	6	24	29	49	43	47	17	17	19
OTU_122	83	90	79	67	56	47	76	41	86	100	110	97	38	56	54	56	72	52
OTU_5	9034	2490	12376	551	296	578	339	85	181	7579	4024	3200	751	913	796	280	196	214
OTU_3	9263	9661	9479	243	144	185	194	167	183	27584	26955	23402	108	172	150	135	155	164
OTU_31	4	6	6	2021	2767	776	58	7	14	5	2	6	749	2143	1360	20	29	29
OTU_57	699	713	666	235	164	191	394	100	417	38	27	28	12	25	39	36	95	76
OTU_1	1195	4517	2547	6546	20967	10348	6890	2114	6765	6853	4142	3630	38729	28992	9854	29296	23440	24860
OTU_22	1300	1658	1636	756	672	1330	2246	490	4209	125	252	171	102	139	239	121	278	226
OTU_2737	42	11	6	59	10	1	79	6	9	122	38	2	48	15	1	267	5	44
OTU_9	230	353	766	984	1317	3375	3936	613	4683	558	1930	4294	1045	2454	1379	1032	8203	6732
OTU_151	115	152	118	90	73	107	98	75	310	9	10	10	4	8	2	2	6	5
OTU_67	135	191	182	475	372	640	1252	62	2001	12	10	4	48	62	57	31	39	29
OTU_25	8	6	8	21	205	10	197	3923	37	6	2	5	7	7	11	6	6	11
OTU_100	202	207	233	83	73	76	108	79	100	491	424	406	64	66	57	68	89	81
OTU_1753	4	13	2	24	17	15	252	8	55	3	16	11	26	13	3	14	28	55
OTU_1390	2	2	2	2	2	4	1	1	0	0	1	0	0	1	2	1	1	1
OTU_21	8793	5362	4750	210	115	154	879	37	347	149	87	105	124	134	118	109	65	79
OTU_89	10	14	12	203	67	45	312	443	233	4	9	7	8	6	11	7	10	13
OTU_262	21	28	36	50	46	54	25	53	40	25	38	49	33	80	111	23	64	49
OTU_1673	3	4	0	3	0	0	2	2	5	4	3	5	7	0	2	6	0	3
OTU_7	439	448	374	1546	1239	1191	401	979	472	246	285	322	12236	6432	13998	598	482	440
OTU_4	4892	5325	6674	940	939	946	484	350	518	12138	13565	20306	177	176	292	1220	812	607
OTU_1694	7	17	9	111	172	64	300	50	295	35	28	20	126	99	55	158	196	356
OTU_442	16	17	18	21	10	16	11	8	17	19	19	12	12	7	13	14	11	12
OTU_2	593	601	509	9681	5130	5331	1935	44197	1612	338	453	445	886	553	711	446	576	617
OTU_2021	65	369	124	577	1303	483	437	159	585	601	323	226	1219	1091	378	1257	1037	1102
OTU_81	85	160	103	191	251	206	290	108	303	272	249	247	342	296	169	356	397	383
OTU_13	561	419	541	4531	3138	3278	246	129	124	252	160	151	1263	765	3430	210	144	172
OTU_124	110	131	114	159	134	321	22	7	91	0	0	1	3	7	13	6	4	5
OTU_64	2	1	7	14	6	12	6	5	12	1138	1050	628	14	27	17	11	2	7
OTU_16	404	5485	1064	88	82	89	64	62	81	93	2924	974	51	49	60	161	214	244
OTU_1308	6	6	5	34	32	29	205	91	369	6	4	8	9	9	12	12	14	25
OTU_282	162	123	93	25	18	56	114	15	242	18	15	14	11	41	20	32	132	71
OTU_8	174	203	168	6013	6323	11096	460	396	380	151	194	215	1313	3813	3207	246	219	238
OTU_24	84	64	45	1409	1012	1527	1352	186	800	67	48	82	521	967	1275	632	468	517
OTU_20	7375	6855	4975	258	157	113	208	166	89	253	226	124	130	80	59	196	72	157
OTU_60	15	15	12	70	15	20	22	12	16	12	16	16	516	938	922	68	93	90
OTU_34	240	266	320	33	35	49	58	34	31	3312	3301	2857	74	261	201	51	48	56
OTU_319	7	10	13	21	14	17	12	8	25	13	12	6	13	15	27	22	10	14
OTU_49	17	32	34	74	456	415	1616	73	849	34	23	34	44	32	21	124	96	74
OTU_332	46	60	64	364	309	385	234	94	200	4	4	3	9	8	17	12	7	2
OTU_85	81	110	96	122	120	131	140	74	168	113	95	118	153	163	115	132	159	162
OTU_178	22	20	11	17	18	22	7	7	52	16	9	11	13	42	45	68	130	112
OTU_72	338	310	355	167	112	171	168	46	394	11	14	10	10	41	70	22	29	47
OTU_35	2143	4257	2245	197	141	153	117	22	57	855	709	1012	189	255	235	119	119	106
OTU_134	47	59	43	90	59	85	68	95	103	35	54	54	65	60	87	53	39	47
OTU_27	63	72	44	1485	812	1926	208	84	321	19	15	10	158	442	3237	85	150	143
OTU_45	3	3	0	321	213	41	647	70	35	2	6	2	0	2	9	1	3	3
OTU_41	15	210	27	218	1424	1138	29	8	31	9	7	2	13	19	909	20	4	12
OTU_44	44	53	31	278	150	37	436	1830	348	17	15	18	15	14	19	29	47	57
OTU_51	0	2	0	59	210	48	1	2	0	0	0	0	94	868	1714	3	1	0
OTU_346	14	7	3	12	16	22	18	9	11	11	7	5	13	11	14	20	10	10
OTU_50	2	4	5	6	7	10	5	8	5	4	6	6	1	835	2116	6	11	14
OTU_311	22	24	22	33	22	31	31	11	25	27	29	27	23	17	38	13	11	14
OTU_75	0	0	0	69	193	193	0	2	1	0	0	1	233	412	189	1	0	0
OTU_194	1	3	0	29	3	12	21	110	88	0	0	1	0	1	3	3	0	3
OTU_91	8	14	15	661	546	541	136	135	58	3	5	3	22	6	17	14	10	8
