$index.pair
    name1 name2 D.ij.ruzicka G.ij.ruzicka Ds.ij.ruzicka Gs.ij.ruzicka C.ij.ruzicka
1   E3_60 N1_40    0.8317097    0.4203165     0.8317097     0.4203165    0.1682903
2    E1_0 N1_40    0.8691617    0.3432394     0.8691617     0.3432394    0.1308383
3    N2_0 N1_40    0.8314425    0.3050276     0.8314425     0.3050276    0.1685575
4   E3_40 N1_40    0.7104128    0.3941747     0.7104128     0.3941747    0.2895872
5   E2_60 N1_40    0.8316861    0.4410897     0.8316861     0.4410897    0.1683139
6   N2_40 N1_40    0.4548736    0.3119229     0.4548736     0.3119229    0.5451264
7    E3_0 N1_40    0.8885392    0.3883760     0.8885392     0.3883760    0.1114608
8   E2_40 N1_40    0.7718100    0.4511532     0.7718100     0.4511532    0.2281900
9   E1_40 N1_40    0.8172772    0.4760228     0.8172772     0.4760228    0.1827228
10  N3_60 N1_40    0.7062362    0.3370760     0.7062362     0.3370760    0.2937638
11  N1_60 N1_40    0.6738709    0.3384085     0.6738709     0.3384085    0.3261291
12   N1_0 N1_40    0.8636227    0.3045110     0.8636227     0.3045110    0.1363773
13  N2_60 N1_40    0.7600488    0.3575020     0.7600488     0.3575020    0.2399512
14  E1_60 N1_40    0.8356941    0.4489290     0.8356941     0.4489290    0.1643059
15   E2_0 N1_40    0.8859597    0.3887513     0.8859597     0.3887513    0.1140403
16   N3_0 N1_40    0.8529635    0.3199391     0.8529635     0.3199391    0.1470365
17  N3_40 N1_40    0.4258862    0.3462940     0.4258862     0.3462940    0.5741138
18   E1_0 E3_60    0.8780548    0.4445070     0.8780548     0.4445070    0.1219452
19   N2_0 E3_60    0.8661808    0.4377031     0.8661808     0.4377031    0.1338192
20  E3_40 E3_60    0.8155601    0.4686226     0.8155601     0.4686226    0.1844399
21  E2_60 E3_60    0.1383330    0.4612914     0.1383330     0.4612914    0.8616670
22  N2_40 E3_60    0.7110251    0.4198059     0.7110251     0.4198059    0.2889749
23   E3_0 E3_60    0.8680273    0.4368240     0.8680273     0.4368240    0.1319727
24  E2_40 E3_60    0.6659501    0.4954703     0.6659501     0.4954703    0.3340499
25  E1_40 E3_60    0.6927267    0.4878727     0.6927267     0.4878727    0.3072733
26  N3_60 E3_60    0.7428431    0.4396914     0.7428431     0.4396914    0.2571569
27  N1_60 E3_60    0.6737393    0.4279759     0.6737393     0.4279759    0.3262607
28   N1_0 E3_60    0.8961294    0.4229471     0.8961294     0.4229471    0.1038706
29  N2_60 E3_60    0.8940428    0.4360126     0.8940428     0.4360126    0.1059572
30  E1_60 E3_60    0.3883061    0.4913929     0.3883061     0.4913929    0.6116939
31   E2_0 E3_60    0.8834902    0.4369830     0.8834902     0.4369830    0.1165098
32   N3_0 E3_60    0.8853237    0.4107432     0.8853237     0.4107432    0.1146763
33  N3_40 E3_60    0.7897226    0.4219269     0.7897226     0.4219269    0.2102774
