Sample_ID	DGG1_SED	DGGB_SED	GMQP_SED	GMQS_SED	JMQL_SED	JMQR_SED	SRBZ_SED	GXS_SED	JZL_SED	HMZ_SED	ZZQL_SED	ZZQR_SED	WGT_SED
PH	4.7	3.44	8.82	8.82	8.89	8.86	6.97	7.29	6.71	7.38	3.57	3.56	3.1
Temperature	73.9	48.3	74.5	85.7	84.8	81.4	66.4	73.8	81.6	64.9	82.1	86	35.5
Redoxpotential	149	216	-130.1	-134.9	-134.4	-130.5	-134.4			-28.9	241.7	243.2	
NO3-	0.036666667	0.01666667	0.02	0.00666667	0.01666667	0.023333333	0.026666667			0.01	0.0333333	0.01333333	0.005
NO2-	0.021667	0.001	0.049333	0.031	0	0.013667	0.145			0.03366667	0.02633333	0.34566667	0.0553333
Fe2+	0.57	2.875	0.39	0	0.11	0.046666667	0.623333333			0.27666667	1.97666667	1.65	0.58
SO42-	350	200	14.66666667	16	9	15	316.6666667			40.3333333	50	33.333333	133.333333
H2S	0.27	0.09	4.583333333	6.833333333	7.75	5.833333333	0.043333333			0.58333333	0.03	0.0233333	0.24333333
NH4+	0	0.673333333	0.09	0.13	0.193333333	0.5	0.066666667			0.18	1.1966666	2	2.473333333
O2	1.5	5.9	0	0.12	0	0.0885	1			5.5666667	0	0	4.96666667
Total_iron	0.63	0.86	0.1	0.153333333	0.083333333	0.096666667	0.583333333			0.18	0.99	0.41	2.266666667
