Phylum	DGG1_SED	DGGB_SED	GMQP_SED	GMQS_SED	GXS_SED	HMZ_SED	JMQL_SED	JMQR_SED	JZL_SED	SRBZ_SED	WGT_SED	ZZQL_SED	ZZQR_SED
Firmicutes	59403955.75	978201016.4	2550361.446	567191.6758	4814863.965	1795649858	247445.7831	576630.4491	573389.7043	172846059.1	24182037.24	218526.1774	41460.86664
Proteobacteria	34199175.9	858464359.3	5293159.255	1595722.234	29295692	1063633910	2209872.946	1998309.31	855898.3571	37975358.16	132583570.6	2485272.289	292626.6466
TA06	754863.965	755079404.2	0	6206.352683	0	1228214.677	2856.516977	0	239.211391	21156.18839	488937.5685	0	691.6925739
Chloroflexi	15276399.56	621628416.2	1847852.793	518230.4491	13848379.85	3479532180	330284.7755	968333.4064	711175.4655	46543614.46	9208324.206	142597.5904	62008.20486
Deinococcus-Thermus	17873643.37	382682576.1	1411972.837	129643.8116	22321817.74	2727864797	39634.17306	172442.9354	91378.75137	61522195.84	101861.9934	27778.75137	17210.93875
Nitrospirae	1138693.1	297495483	9274.041621	47237.23987	0	54041445.78	22852.13582	23408.54326	33728.80613	3258053.012	3096604.6	11111.50055	7120.364732
Bacteroidetes	12282532.31	270330558.6	373280.1752	896473.1654	19964070.1	1278571479	723055.8598	498601.9715	720743.9211	18659758.16	42191237.68	977812.0482	108921.2365
Acidobacteria	8725715.663	249759062.4	95058.92662	537194.3045	21102293.1	142472902.5	312074.4797	472072.2892	166012.7054	2454117.853	26585980.28	46297.91895	47848.851
Acetothermia	498977.8751	193583053.7	3085937.349	184811.391	56007798.47	46672157.72	38562.97919	17946.54984	57410.73384	2961866.375	0	3703.833516	52527.94782
Crenarchaeota	36694065.28	161143386.6	9046827.601	417894.414	7055175.904	7369288.061	1502884.995	6718251.917	93292.4425	7679696.386	1487185.104	35390129.24	12653.90532
Armatimonadetes	857218.4009	153758747	217939.9781	128264.6221	9991068.565	1214704315	51774.37021	117042.7163	170557.7218	2623367.36	3626286.966	55557.50274	10538.1398
Spirochaetes	959572.8368	134242199.3	2318.510405	12412.70537	0	51585016.43	7141.292442	11704.27163	26791.67579	592373.2749	5072727.273	9259.58379	284.8145893
Patescibacteria	1624876.67	130549879.5	37096.16648	215843.1544	3694707.996	50356801.75	856240.9639	275440.5257	33011.17196	16903794.52	35488718.51	44446.00219	34950.81888
Cyanobacteria	19344988.39	121319080	2223451.479	521678.4228	117435.7065	13396137481	304933.1873	272319.3866	1182900.329	9308722.892	550054.7645	118522.6725	34910.13108
Aquificae	37704815.33	116835548.7	21970204.6	293767.3604	4101216.21	759036670.3	53202.6287	3785161.446	115539.1019	31353471.19	38829791.89	27778.75137	7771.369507
Unclassified	1663259.584	98110212.49	120562.5411	76200.21906	2926859.146	846239912.4	39277.10843	32771.96057	81092.66156	26402923.11	8617524.644	18519.16758	10863.64219
Calditrichaeota	38382.91347	82285984.67	0	0	0	0	0	0	956.8455641	0	0	0	0
Caldiserica	5795819.934	51428740.42	0	10343.92114	9033.515882	19651434.83	9283.680175	780.2847755	5023.439211	846247.5356	16562760.13	0	3051.584885
Nanoarchaeaeota	729275.356	39033095.29	2318.510405	1723.986857	0	3684644.031	2499.452355	4681.708653	478.422782	698154.2169	1140854.326	0	854.4437678
WS1	38382.91347	38241883.9	2318.510405	6551.150055	0	0	714.1292442	0	0	0	20372.39869	0	40.68779847
Thermotogae	3057838.773	37186935.38	2397339.759	94129.68237	36134.06353	747982738.2	26065.71742	52279.07996	17462.43154	7023854.545	26687842.28	25926.83461	6550.735553
Atribacteria	102354.4359	35604512.6	25503.61446	29652.57393	18067.03176	12282146.77	2142.387733	4681.708653	5980.284775	1988681.709	0	3703.833516	2319.204513
Planctomycetes	4721098.357	34813301.2	319954.4359	192052.1358	135502.7382	74921095.29	137112.8149	196631.7634	55018.61993	2242555.969	3239211.391	27778.75137	22093.47457
Hydrogenedentes	25588.60898	31384718.51	0	3447.973713	0	24564293.54	357.0646221	0	4066.593647	190405.6955	20372.39869	7407.667032	732.3803724
Actinobacteria	2302974.808	28747347.21	1486165.17	638564.7317	514910.4053	3684644.031	902659.3647	850510.4053	231795.8379	2602211.172	15523767.8	2346378.532	84183.05503
uncultured	51177.21796	17934124.86	0	4482.365827	0	8597502.738	3213.581599	0	1196.056955	10874280.83	20372.39869	0	1708.887536
Thaumarchaeota	1305019.058	12659382.26	62599.78094	357899.6714	1038854.326	2456429.354	142111.7196	275440.5257	134436.8018	1480933.187	264841.1829	118522.6725	20384.58703
Kiritimatiellaeota	38382.91347	11868170.87	0	0	0	1228214.677	357.0646221	2340.854326	1674.479737	0	0	0	366.1901862
Verrucomicrobia	2085471.632	9230799.562	71873.82256	212739.9781	117435.7065	66323592.55	73912.37678	137330.1205	26552.4644	761622.782	1772398.686	98151.58817	21523.84539
Latescibacteria	0	6065953.998	0	344.7973713	9033.515882	0	1785.323111	14045.12596	1674.479737	63468.56517	0	1851.916758	854.4437678
Euryarchaeota	12500035.49	5538479.737	178525.3012	24135.81599	0	54041445.78	25351.58817	42915.66265	13635.04929	2559898.795	49688280.39	11111.50055	4923.223614
Thermosulfidibacteraeota	5271253.45	791211.391	0	0	0	1228214.677	0	0	0	105780.9419	0	0	0
WS2	0	5274742.607	2318.510405	0	0	0	0	0	478.422782	0	0	0	0
Fibrobacteres	12794.30449	5011005.476	0	4137.568456	0	6141073.384	2142.387733	5461.993428	717.6341731	0	20372.39869	1851.916758	162.7511939
Poribacteria	0	3956056.955	0	0	0	0	0	0	0	0	0	0	0
BRC1	12794.30449	3692319.825	0	0	0	0	357.0646221	0	0	0	0	1851.916758	162.7511939
WOR-1	76765.82694	3692319.825	0	0	0	0	0	0	0	0	0	0	0
Elusimicrobia	268680.3943	3428582.694	0	6206.352683	0	1228214.677	2856.516977	3121.139102	239.211391	0	1303833.516	0	854.4437678
Diapherotrites	38382.91347	3164845.564	4637.020811	2758.37897	63234.61117	8597502.738	357.0646221	0	239.211391	296186.6375	1201971.522	0	122.0633954
Dadabacteria	0	2901108.434	0	0	0	0	0	0	478.422782	0	0	0	0
