Species	S9	S23	S32
[Arcobacter] porcinus	0.00011	0	0
[Clostridium] bolteae	0.00037	0	0.00231
[Clostridium] cellulosi	0.00012	0	0
[Clostridium] hiranonis	0.00043	0.00069	0
[Clostridium] hylemonae	0.00034	0	0.00012
[Clostridium] saccharolyticum	0.00081	0	0.00051
[Clostridium] scindens	0.00051	0	0.00095
[Clostridium] sphenoides	0.00025	0	0.00025
[Clostridium] ultunense	0	0	0.00012
[Enterobacter] lignolyticus	0.00015	0	0
[Eubacterium] cellulosolvens	0.00034	0	0
[Eubacterium] sulci	0.00741	0.00023	0.00012
[Ruminococcus] gnavus	0.00016	0.00023	0.00484
Acetobacterium woodii	0.00022	0	0
Acetohalobium arabaticum	0.00022	0	0
Achromobacter spanius	0	0	0.00023
Acidipropionibacterium acidipropionici	0	0	0.00013
Acinetobacter baumannii	0.00034	0	0
Acinetobacter junii	0.00024	0.00068	0.00023
Acinetobacter sp. C16S1	0.00013	0	0
Actinobacillus delphinicola	0.00011	0	0
Actinobacillus porcitonsillarum	0.00035	0	0
Actinomyces hongkongensis	0.00139	0	0
Actinomyces israelii	0.00011	0	0
Actinomyces naeslundii	0.00094	0	0
Actinomyces oris	0.00023	0	0
Actinomyces pacaensis	0.00089	0.00023	0
Actinomyces qiguomingii	0.00011	0	0
Actinomyces radicidentis	0.00047	0	0.00015
Actinomyces slackii	0.00023	0	0
Actinomyces sp. 299	0.00017	0	0
Actinomyces sp. 432	0.00014	0	0
Actinomyces sp. oral taxon 171	0.00026	0.00031	0
Actinomyces sp. oral taxon 414	0.00012	0.00038	0
Actinomyces sp. oral taxon 848	0.00011	0	0
Actinomyces sp. oral taxon 897	0.00084	0	0
Actinomyces sp. Z16	0.00018	0	0
Actinomyces viscosus	0.00035	0	0
Actinoplanes friuliensis	0	0	0.00024
Aerococcus christensenii	0.00012	0	0
Aerococcus sanguinicola	0.00011	0	0
Aeromonas hydrophila	0	0	0.00012
Aeromonas veronii	0	0	0.00012
Afipia sp. GAS231	0.00015	0	0
Agarivorans gilvus	0.00011	0	0
Aggregatibacter aphrophilus	0.00034	0	0
Aggregatibacter segnis	0.00011	0	0
Agrobacterium tumefaciens	0	0	0.00012
Agrococcus carbonis	0.00028	0	0
Algoriphagus sanaruensis	0.00013	0	0
Alicyclobacillus acidocaldarius	0.00011	0	0
Aliivibrio fischeri	0	0.00023	0
Alistipes communis	0	0	0.00012
Alistipes dispar	0.00012	0	0.00012
Alistipes finegoldii	0	0	0.00059
Alistipes megaguti	0.00012	0	0.00012
Alistipes onderdonkii	0.00012	0	0.00047
Alistipes shahii	0.00012	0	0.00142
Alkaliphilus metalliredigens	0.00012	0	0
Alkalitalea saponilacus	0.00011	0	0
Alloprevotella sp. E39	0.001	0	0.00012
Altererythrobacter atlanticus	0	0	0.00012
Altererythrobacter ishigakiensis	0.00011	0	0
Altererythrobacter sp. ZODW24	0.00011	0	0
Aminipila sp. JN-18	0.00044	0	0.00012
Aminobacterium colombiense	0.00011	0	0
Amphibacillus xylanus	0.00012	0	0
Amycolatopsis keratiniphila	0	0	0.00013
Anabaena cylindrica	0.00015	0	0
Anaerobutyricum hallii	0.00052	0	0.0005
Anaerococcus prevotii	0.00012	0	0.00012
Anaerocolumna sp. CBA3638	0.00011	0	0.00012
Anaerohalosphaera lusitana	0.00011	0	0
Anaerolinea thermophila	0.00011	0	0
Anaerolineaceae bacterium oral taxon 439	0.00033	0	0
Anaerostipes hadrus	0.00052	0	0.00089
Anaerostipes rhamnosivorans	0.00088	0	0.00036
Anaerotignum propionicum	0.00011	0	0.00012
Anoxybacter fermentans	0.00011	0	0
Antarcticibacterium sp. PAMC 28998	0.00012	0	0
Antarctobacter heliothermus	0	0.00023	0
Aquabacterium olei	0	0	0.00012
Aquicella lusitana	0.00011	0	0
Aquiflexum balticum	0.00027	0	0
Arcobacter halophilus	0.00011	0	0
Arcobacter mytili	0.00011	0	0
Arcobacter pacificus	0.00011	0	0
Armatimonadetes bacterium Uphvl-Ar1	0.00011	0	0
Aromatoleum aromaticum	0	0	0.00012
Asticcacaulis excentricus	0	0	0.00012
Atopobium parvulum	0.03481	0.00885	0.00047
Aurantimicrobium sp. MWH-Uga1	0	0.00023	0
Auricoccus indicus	0.00012	0	0
Azospirillum brasilense	0	0	0.00016
Azospirillum lipoferum	0	0	0.00014
Bacillus cereus	0.00045	0.00034	0
Bacillus coagulans	0.00012	0	0
Bacillus filamentosus	0	0.00026	0
Bacillus glycinifermentans	0.00012	0	0
Bacillus lentus	0.00012	0	0
Bacillus oceanisediminis	0.00012	0	0
Bacillus pseudofirmus	0	0	0.00018
Bacillus simplex	0	0.00029	0
Bacillus sp. N1-1	0	0	0.00013
Bacillus sp. SB49	0.00011	0	0
Bacillus sp. Y1	0.00012	0	0
Bacillus subtilis	0.00022	0	0
Bacillus velezensis	0.00026	0	0
Bacillus weihaiensis	0	0	0.00027
Bacterioplanes sanyensis	0.00011	0	0
Bacteroidales bacterium CF	0.00012	0	0
Bacteroides caccae	0.00049	0	0.00352
Bacteroides caecimuris	0.00018	0	0.00492
Bacteroides cellulosilyticus	0	0	0.00035
Bacteroides coprosuis	0.00034	0	0
Bacteroides dorei	0	0	0.01057
Bacteroides fragilis	0.00088	0.00023	0.25582
Bacteroides helcogenes	0.00034	0	0
Bacteroides heparinolyticus	0.00151	0	0.00036
Bacteroides intestinalis	0.0005	0	0.00047
Bacteroides ovatus	0.00067	0	0.20739
Bacteroides salanitronis	0.00061	0	0.00024
Bacteroides sp. A1C1	0	0	0.00073
Bacteroides thetaiotaomicron	0.00028	0	0.05833
Bacteroides uniformis	0	0	0.00184
Bacteroides vulgatus	0.00067	0.00023	0.10428
Bacteroides xylanisolvens	0	0	0.01881
Bacteroides zoogleoformans	0.00034	0	0.00024
Baekduia soli	0.00011	0	0
Barnesiella viscericola	0.00063	0	0.00012
Belliella baltica	0.00017	0	0
Bergeyella cardium	0.00012	0	0
Betaproteobacteria bacterium GR16-43	0	0	0.00012
Bifidobacterium adolescentis	0	0.00204	0.00013
Bifidobacterium animalis	0.00011	0	0
