samples	groups
c1	c
c2	c
c3	c
c4	c
c5	c
c6	c
c7	c
c8	c
c9	c
c10	c
c11	c
c12	c
c13	c
c14	c
c15	c
c16	c
c17	c
c18	c
c19	c
c20	c
c21	c
c22	c
c23	c
c24	c
c25	c
c26	c
c27	c
c28	c
c29	c
c30	c
c31	c
c32	c
c33	c
c34	c
c35	c
c36	c
c37	c
c38	c
c39	c
c40	c
c41	c
c42	c
c43	c
c44	c
c45	c
c46	c
c47	c
c48	c
c49	c
c50	c
c51	c
c52	c
c53	c
c54	c
c55	c
c56	c
c57	c
c58	c
c59	c
c60	c
h1	h
h2	h
h3	h
h4	h
h5	h
h6	h
h7	h
h8	h
h9	h
h10	h
h11	h
h12	h
h13	h
h14	h
h15	h
h16	h
h17	h
h18	h
h19	h
h20	h
h21	h
h22	h
h23	h
h24	h
h25	h
h26	h
h27	h
h28	h
h29	h
h30	h
h31	h
h32	h
h33	h
h34	h
h35	h
h36	h
h37	h
h38	h
h39	h
h40	h
h41	h
h42	h
h43	h
h44	h
h45	h
h46	h
h47	h
h48	h
h49	h
h50	h
h51	h
h52	h
h53	h
h54	h
h55	h
h56	h
h57	h
h58	h
h59	h
h60	h
