species	A	B	C	 Lower	Upper	y
Fusobacterium nucleatum	0.701193724	0.821193724	0.501193724	0.530809378	0.871578071	1
Parvimonas micra	0.650372084	0.770372084	0.450372084	0.480609863	0.820134306	2
Parvimonas spp.	0.629296313	0.749296313	0.429296313	0.453420874	0.805171752	3
Gemella morbillorum	0.600511362	0.720511362	0.400511362	0.439175822	0.761846902	4
Peptostreptococcus stomatis	0.580396336	0.700396336	0.380396336	0.41920753	0.741585142	5
Solobacterium moorei	0.532390948	0.652390948	0.332390948	0.372012338	0.692769558	6
Clostridium symbiosum	0.47918242	0.59918242	0.27918242	0.31128559	0.647079251	7
Anaerococcus vaginalis	0.417672133	0.537672133	0.217672133	0.24239117	0.592953096	8
Porphyromonas asaccharolytica	0.415316909	0.535316909	0.215316909	0.255845616	0.574788203	9
Prevotella intermedia	0.388845613	0.508845613	0.188845613	0.213854984	0.563836243	10
Streptococcus australis	-0.220343469	-0.100343469	-0.420343469	-0.3828304	-0.057856539	11
Lachnospiraceae bacterium 1 1 57FAA	-0.231412041	-0.111412041	-0.431412041	-0.389698966	-0.073125115	12
Ruminococcussp 5 1 39BFAA	-0.238487336	-0.118487336	-0.438487336	-0.396843614	-0.080131058	13
Pseudomonas spp.	-0.255021093	-0.135021093	-0.455021093	-0.438913426	-0.07112876	14
Bifidobacterium longum	-0.257067046	-0.137067046	-0.457067046	-0.415696004	-0.098438089	15
Eubacterium hallii	-0.26319016	-0.14319016	-0.46319016	-0.450034857	-0.076345462	16
Adlercreutzia equolifaciens	-0.266046555	-0.146046555	-0.466046555	-0.424465777	-0.107627333	17
Streptococcus thermophilus	-0.279489946	-0.159489946	-0.479489946	-0.438108792	-0.1208711	18
Faecalibacterium prausnitzii	-0.298591341	-0.178591341	-0.498591341	-0.457348889	-0.139833792	19
Roseburia intestinalis	-0.31510019	-0.19510019	-0.51510019	-0.478476109	-0.151724272	20
