OTUId	BIO3-1	ori3	BIO3-16	BIO1-16	BIO3-24	ori2	BIO1-24	ori1	BIO2-16	BIO3-8	BIO2-1	BIO2-24	BIO1-1	BIO1-8	BIO2-8
OTU_186	121	649	2	14	8	635	4	735	19	28	153	3	116	26	30
OTU_12	7980	28679	490	516	471	22556	472	17273	804	509	6592	403	6835	398	491
OTU_1	121797	2821	130868	124367	81043	2578	79526	1839	128168	125171	116998	75246	100264	115836	135325
OTU_5	47	80	5284	6866	35799	93	33505	66	4660	92	48	23445	42	53	69
OTU_8	8168	7966	7033	3131	7825	9582	4868	5887	1953	2842	6553	2528	9680	2256	2631
OTU_14	322	1167	6936	2564	8868	1106	10373	726	4024	161	289	8054	323	147	178
OTU_46	300	2853	29	31	27	2594	21	1540	29	17	200	28	246	17	17
OTU_508	507	1752	15	30	15	1822	29	1995	20	12	638	10	419	21	28
OTU_56	90	218	1652	900	688	201	626	120	1421	52	86	403	81	72	70
OTU_2	537	828	29091	8030	40071	750	28574	568	6408	266	501	22327	471	202	294
OTU_13	4219	19317	297	241	370	17247	276	12129	236	185	3038	237	2996	154	166
OTU_7	208	274	41582	13855	5082	312	5948	202	17493	491	206	4070	195	1086	1429
OTU_9	11056	14501	7599	9457	16819	12805	14061	9309	11935	572	8994	16664	9625	405	578
OTU_6	5921	33586	427	308	331	30321	269	21961	332	308	4516	273	4222	227	320
OTU_3	8497	29791	323	539	285	28739	284	33700	736	1071	9497	199	7622	814	857
OTU_10	391	456	5883	5783	1965	386	1563	324	5996	23631	326	1355	282	18179	21772
OTU_70	321	1263	9	6	13	1119	10	732	12	14	234	5	200	5	11
OTU_39	4088	821	4274	4210	3134	739	2802	515	4119	4343	4022	2595	3351	3745	4523
OTU_19	2342	7495	141	79	148	6844	90	4335	79	48	1763	89	1597	35	41
OTU_57	204	1164	12	18	19	1604	17	1272	47	21	203	11	319	26	19
OTU_1997	2	1	0	0	2	3	0	1	0	1	2	0	1	2	0
OTU_24	729	6474	73	133	104	6537	98	6190	192	165	828	61	1102	148	184
OTU_4	5055	34720	97	82	111	33646	97	33498	114	96	8266	90	6827	108	122
OTU_192	58	370	20	13	14	344	13	211	23	13	52	14	61	13	14
OTU_20	1310	852	1532	1621	592	759	678	583	2184	2419	1948	532	1468	2476	3429
OTU_35	534	3813	70	57	51	3715	57	2427	92	66	465	56	501	70	77
OTU_42	1322	3429	113	72	136	3179	100	2232	61	42	1043	104	940	51	37
OTU_113	221	599	15	18	9	648	13	389	20	9	139	17	139	10	7
OTU_149	96	466	7	4	7	535	8	522	14	17	125	4	155	18	21
OTU_32	163	231	1736	1956	3116	194	2239	153	1878	89	149	2219	113	95	108
OTU_1599	5	11	3	4	1	4	2	11	2	1	9	0	6	1	7
OTU_108	60	716	8	8	6	834	6	761	5	14	67	10	86	13	16
OTU_11	349	805	6508	5407	1635	878	2241	514	8208	11177	390	1557	369	8097	15068
OTU_87	109	824	8	17	15	923	13	884	16	14	118	7	160	6	15
OTU_142	228	552	126	109	129	490	130	341	117	69	240	91	225	59	66
OTU_3272	30	2	100	95	210	4	147	3	51	42	34	161	22	36	44
OTU_18	145	229	2645	1553	7002	244	5323	169	1623	151	143	4890	134	142	178
OTU_91	290	644	97	152	69	662	74	488	167	202	559	40	379	242	313
OTU_3697	46	317	1	4	7	312	2	204	7	1	54	1	37	6	5
OTU_148	7	21	384	155	207	12	254	9	274	5	11	48	3	13	7
OTU_31	705	1457	1015	632	1466	1457	833	809	1153	160	519	681	578	230	262
OTU_48	544	1807	765	388	526	1531	392	1165	544	66	461	315	425	65	59
OTU_822	9	9	3	4	8	9	6	11	5	3	8	3	6	9	3
OTU_109	13	26	0	4	71	31	21	16	1	2	10	2239	7	5	5
OTU_105	135	780	10	16	11	936	6	799	28	19	160	4	220	20	27
OTU_3118	323	408	9	14	6	344	15	282	19	27	282	11	257	11	26
OTU_110	32	63	423	188	563	72	710	48	189	28	27	321	27	18	20
OTU_172	1	1	2	4	112	2	41	3	9	550	0	24	3	540	1019
OTU_2338	286	1581	22	25	18	1314	16	1488	21	24	495	6	347	19	17
OTU_38	346	3235	137	101	307	3589	137	1689	159	150	300	110	243	121	136
OTU_94	240	436	190	181	200	432	201	273	214	118	249	160	212	90	117
OTU_58	133	1663	10	5	8	1845	10	1050	17	7	200	9	144	9	12
OTU_28	3820	1663	90	67	120	1590	70	1019	65	132	3011	67	2550	60	58
OTU_29	1483	7050	326	258	604	5861	258	4013	223	191	1236	309	1287	186	198
OTU_1643	12	120	4	3	7	121	0	60	7	4	19	2	19	4	2
OTU_107	148	522	8	8	8	554	10	501	17	15	130	12	156	11	11
OTU_3363	193	735	19	10	13	549	7	449	19	21	167	8	173	9	7
OTU_114	231	301	194	139	258	296	203	217	126	64	215	158	170	43	58
OTU_2252	0	3	1	0	4	2	1	2	0	0	0	0	0	0	2
OTU_41	1	2	16	15	472	3	150	2	25	2266	1	84	2	2272	4445
OTU_103	0	2	200	86	1605	3	705	1	56	19	1	347	0	22	46
OTU_44	420	2846	57	67	76	2687	84	1864	75	37	365	67	429	29	37
OTU_1772	455	1386	31	23	25	1291	26	885	24	18	349	29	361	12	10
OTU_316	59	74	3	11	4	97	3	63	6	5	54	1	69	8	5
OTU_65	147	800	5	1	7	1356	10	1035	5	8	158	5	228	4	6
OTU_2704	22	79	16	14	11	53	8	37	8	15	20	14	23	14	11
OTU_248	31	247	3	7	8	266	4	174	2	3	20	3	24	2	0
OTU_77	173	956	31	47	17	887	22	931	58	68	248	18	186	68	56
OTU_75	92	934	28	21	10	1345	23	740	52	26	175	17	224	11	19
OTU_54	72	388	609	911	4804	410	1774	306	606	131	56	1282	92	236	322
OTU_335	14	101	0	0	1	130	0	118	2	1	18	0	5	0	2
OTU_1619	43	117	1	4	0	124	2	137	4	4	28	0	25	1	5
OTU_182	93	379	6	11	4	449	7	346	10	13	78	6	92	17	14
OTU_761	5	31	0	0	1	32	1	21	1	0	5	0	2	1	0
OTU_59	28	24	227	1791	284	41	36	20	2336	12	14	225	22	15	11
OTU_158	41	517	3	6	13	565	8	389	5	1	52	4	55	7	10
OTU_21	63	55	70	2658	53	68	201	45	1702	34	35	482	49	6301	7646
OTU_51	681	2272	33	35	28	2026	15	1246	40	30	656	20	659	38	39
OTU_909	95	471	14	9	8	452	11	288	12	15	87	1	62	6	12
OTU_387	50	222	1	2	0	231	2	270	1	3	73	0	38	1	1
OTU_49	852	2534	810	362	492	2396	386	1718	489	88	606	334	685	81	102
OTU_249	49	210	25	49	66	185	140	125	27	14	28	123	27	9	8
OTU_1903	738	2437	83	94	97	2039	84	1362	88	79	386	78	407	61	86
OTU_832	412	553	867	460	1109	509	682	392	610	139	334	476	344	121	172
OTU_153	187	515	82	59	82	505	77	348	79	22	116	56	130	19	17
OTU_17	1315	2429	299	404	362	2579	366	1791	831	4367	857	320	1608	3739	4853
OTU_125	113	627	3	8	7	658	12	414	8	10	107	7	85	10	9
OTU_119	248	1398	17	21	20	1184	10	816	15	15	193	8	210	14	18
OTU_27	841	4932	200	129	213	4498	117	2380	126	78	669	112	795	54	68
OTU_84	766	176	754	727	603	159	500	122	745	749	727	467	562	708	865
OTU_93	160	818	7	9	9	889	9	471	17	9	128	8	136	4	7
OTU_47	310	2313	19	15	26	2232	17	1447	20	25	335	12	382	18	23
OTU_178	78	347	2	5	4	310	7	216	1	8	62	2	73	7	9
OTU_265	9	290	0	3	0	298	0	226	2	5	17	1	54	2	2
OTU_151	120	398	3	7	7	526	12	272	11	8	82	6	124	4	2
OTU_1621	8	30	0	0	1	43	0	38	3	1	7	1	2	0	2
OTU_461	9	89	1	2	1	61	1	46	2	1	10	2	7	2	4
OTU_2813	134	232	8	11	9	163	10	142	9	8	133	8	140	2	5
OTU_100	40	83	302	283	1740	102	950	65	258	11	42	663	34	11	15
OTU_2518	82	92	497	460	156	82	215	80	565	1275	84	153	67	867	1574
OTU_332	26	131	1	2	1	183	4	88	0	1	12	2	19	1	0
OTU_78	227	1095	9	11	10	1067	10	656	17	26	177	10	198	11	24
OTU_2447	94	297	14	10	13	295	21	211	23	12	69	9	74	4	16
OTU_448	15	79	2	1	1	83	0	58	1	2	13	1	26	0	0
OTU_3494	1010	4104	79	70	88	3875	59	2660	72	49	715	44	707	52	60
OTU_1548	144	557	1	1	1	495	0	517	2	5	212	3	167	5	8
OTU_22	1707	5020	259	254	230	4940	244	3299	353	222	1356	212	1436	217	231
OTU_2151	386	1676	20	22	17	1713	15	1906	24	6	524	12	376	23	40
OTU_16	1730	1327	6988	8830	1400	1349	3279	908	8223	768	1243	1078	1203	462	568
OTU_294	65	295	4	4	2	324	3	269	2	9	54	3	74	11	11
OTU_203	101	375	36	44	80	268	26	216	28	20	77	47	63	20	24
OTU_253	51	269	8	2	6	218	3	164	4	1	40	1	40	0	3
OTU_66	267	1385	27	34	25	1454	25	962	21	28	263	25	235	14	27
OTU_64	29	69	744	356	783	67	1803	34	563	12	30	526	38	14	14
OTU_345	47	79	34	30	66	59	48	51	37	15	37	34	33	10	11
OTU_407	10	99	0	1	0	85	0	60	1	1	13	0	17	1	0
OTU_336	44	128	1	0	2	186	1	115	1	1	49	1	45	1	1
OTU_2295	40	193	5	8	3	166	5	186	4	4	47	3	64	9	7
OTU_102	219	786	26	20	21	769	25	495	16	15	178	18	164	8	13
OTU_2924	11	84	2	2	1	63	0	77	0	0	11	1	18	1	0
OTU_3356	158	708	0	6	4	736	3	849	7	4	246	3	184	2	9
OTU_52	169	148	795	911	1015	137	1435	94	1239	43	119	1108	117	38	52
OTU_311	45	196	8	7	2	145	3	119	8	8	39	3	35	6	12
OTU_156	58	511	3	10	9	515	7	522	10	3	66	4	87	12	14
OTU_318	33	68	19	19	17	63	17	57	24	19	25	10	34	23	26
OTU_3213	17	134	3	6	4	164	2	115	1	6	22	0	24	2	2
OTU_198	11	58	38	43	364	89	150	43	46	2	6	284	11	2	5
OTU_3480	0	1	0	0	0	3	0	1	0	0	1	0	1	0	0
OTU_118	103	730	8	17	21	683	14	436	16	15	75	22	106	9	6
OTU_53	1529	1099	27	19	40	1089	28	693	13	17	1129	24	1048	13	10
OTU_111	34	597	0	2	1	737	0	635	4	6	56	2	75	0	6
OTU_101	1	0	27	8	829	2	49	1	7	1646	3	68	2	655	1350
OTU_128	22	18	56	22	18	13	14	11	76	387	7	13	7	524	587
OTU_162	72	471	4	6	10	422	5	288	10	14	40	3	51	13	9
OTU_2830	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0
OTU_681	20	6	1	0	0	7	0	3	0	0	18	0	11	1	0
OTU_266	53	207	7	7	5	203	9	113	11	9	54	1	39	6	9
OTU_61	449	510	798	570	801	588	539	312	851	50	430	481	357	33	66
OTU_37	123	247	19	18	1418	331	5624	205	18	9	99	2616	141	12	8
OTU_124	84	578	11	9	10	674	5	429	14	15	93	7	86	15	19
OTU_15	4607	8505	113	84	114	9212	98	6192	93	59	3888	95	4059	41	57
OTU_116	170	813	9	8	9	693	9	474	18	8	164	5	122	9	9
OTU_471	26	48	20	31	25	37	18	25	33	25	25	24	20	18	31
OTU_828	0	8	0	1	1	18	0	19	1	0	6	0	7	0	0
OTU_43	472	2437	26	23	35	2342	28	1706	35	31	328	29	385	16	31
OTU_150	132	219	106	94	96	186	82	164	89	86	129	55	104	76	108
OTU_3565	2	26	2	0	7	21	2	31	1	2	4	1	7	1	0
OTU_50	378	2225	23	26	30	2208	28	1402	24	18	332	21	358	11	24
OTU_257	37	219	1	5	4	265	2	149	2	3	28	3	19	1	2
OTU_2986	174	2	194	187	117	3	106	2	189	154	138	102	123	144	193
OTU_40	60	105	4052	1292	319	75	111	60	2318	66	58	201	51	167	179
OTU_1558	15	115	0	0	1	135	3	81	3	2	15	0	18	0	2
OTU_220	131	94	126	118	77	87	90	71	103	131	108	73	104	91	122
OTU_1106	174	180	53	60	164	155	124	121	70	5	136	136	139	4	8
OTU_62	237	1428	11	10	9	1461	7	1279	13	24	266	7	238	15	18
OTU_165	83	352	19	8	29	472	10	173	7	1	61	22	50	1	2
OTU_3549	54	70	6	8	3	51	1	91	2	3	51	4	26	3	5
OTU_26	2111	3525	224	154	144	3465	126	2111	215	138	1802	88	1897	157	144
OTU_488	29	47	23	24	24	47	22	33	23	22	29	16	31	22	25
OTU_409	65	54	54	54	61	48	50	33	61	52	69	45	55	57	43
OTU_1971	866	14	829	903	477	23	488	12	719	2012	719	398	740	1598	1818
OTU_30	688	2753	40	44	76	3660	81	3052	56	25	607	78	902	14	21
OTU_63	313	1458	18	47	23	1565	26	1715	41	61	362	14	265	60	57
OTU_3787	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0
OTU_170	36	530	16	1	7	497	11	139	21	11	40	8	36	8	9
OTU_34	1588	726	1061	614	676	766	384	422	943	405	1313	285	1449	292	368
OTU_73	62	162	486	333	797	216	397	125	435	44	57	409	74	47	53
OTU_237	29	201	2	8	4	255	10	200	11	1	34	12	61	6	1
OTU_85	78	335	23	14	2618	350	92	219	13	8	60	17	73	6	5
OTU_2928	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0
OTU_230	61	201	20	13	35	189	18	102	15	7	58	17	46	11	5
OTU_1067	0	1	0	0	6	0	2	1	0	0	0	10	1	0	0
OTU_33	39	155	859	533	5975	141	839	118	417	26	35	767	47	11	13
OTU_3756	20	109	2	1	0	84	0	66	4	2	9	0	11	1	2
OTU_140	70	585	10	7	6	501	11	303	16	10	78	4	79	5	14
OTU_1218	0	7	0	0	2	3	2	2	0	0	0	6	0	0	0
OTU_308	20	129	4	2	5	140	1	115	4	5	37	0	14	2	6
OTU_82	212	422	272	249	1303	437	836	244	292	33	127	545	157	40	35
OTU_3312	64	423	15	10	4	508	2	273	11	7	43	6	59	16	21
OTU_376	14	157	3	0	1	144	1	76	6	2	16	0	6	1	4
OTU_2969	23	28	22	25	16	22	19	9	15	11	15	12	20	15	15
OTU_25	11	37	2404	878	4115	32	1349	16	1699	10	14	3381	13	7	4
OTU_80	153	975	17	27	13	1112	12	952	29	18	136	7	180	22	33
OTU_295	33	148	1	1	5	196	2	125	1	2	32	1	35	2	2
OTU_23	710	4581	73	109	79	4867	71	4762	171	128	774	33	1071	142	204
