OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species	A	B	C	All
OTU_657	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Thermomonosporaceae	Actinocorallia	Actinocorallia_glomerata	3.295490	3.614067	4.984179	3.96457869780249
OTU_2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Pelomonas	Unassigned	5.599199	2.546819	3.222890	3.78963594605458
OTU_3	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Rhizobacter	Unassigned	2.176423	2.276830	3.043702	2.49898515151322
OTU_4	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Rhizobacter	Unassigned	2.239132	1.594292	2.481848	2.10509048802889
OTU_5	Bacteria	Cyanobacteria	Chloroplast	Unassigned	Chloroplast	Streptophyta	Unassigned	0.3305402	2.8015558	2.8629736	1.99835652578068
OTU_6	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_incertae_sedis	Unassigned	Unassigned	2.6064946	0.9846241	1.3720479	1.65438886050858
OTU_8	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	Streptomyces_deccanensis	1.159001	2.060742	1.732415	1.65071935018589
OTU_7	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Unassigned	1.535419	1.503319	1.698713	1.57915035456498
OTU_9	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Actinoplanes	Actinoplanes_friuliensis	1.250284	1.319928	1.327827	1.29934670486574
OTU_10	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Unassigned	1.7127725	0.7945521	0.9727955	1.16004003968234
OTU_17	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Unassigned	Unassigned	Unassigned	1.3994090	0.7618474	1.0831256	1.08146069704652
OTU_11	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Unassigned	Unassigned	1.0127664	0.9995003	1.1081289	1.04013184626324
OTU_13	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Unassigned	0.8876964	1.0398812	1.0766871	1.00142156672589
OTU_14	Bacteria	Proteobacteria	Betaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	1.0156318	0.8392859	1.1134760	0.989464552030729
OTU_15	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium_icense	1.0171879	0.9677813	0.8608127	0.948593977917834
