DATASET_SIMPLEBAR
SEPARATOR TAB
COLOR	#000000
DATASET_LABEL	B
LEGEND_COLORS	#000000
LEGEND_LABELS	Min. (0.1), Max. (3.6)
LEGEND_SHAPES	1
LEGEND_TITLE	B
MARGIN	5
WIDTH	200
DATA
OTU_657	3.614067
OTU_2	2.546819
OTU_3	2.27683
OTU_4	1.594292
OTU_5	2.8015558
OTU_6	0.9846241
OTU_8	2.060742
OTU_7	1.503319
OTU_9	1.319928
OTU_10	0.7945521
OTU_17	0.7618474
OTU_11	0.9995003
OTU_13	1.0398812
OTU_14	0.8392859
OTU_15	0.9677813
OTU_12	1.2520043
OTU_16	0.817697
OTU_18	0.7070503
OTU_28	0.6289997
OTU_19	0.63157
OTU_20	0.3167191
OTU_31	0.6681721
OTU_33	0.6426553
OTU_25	0.4661981
OTU_21	0.4975593
OTU_22	0.5547272
OTU_26	0.5858621
OTU_24	0.3434221
OTU_23	0.2918978
OTU_27	0.5409206
OTU_29	0.3609111
OTU_30	0.4824229
OTU_32	0.5087829
OTU_1227	0.4334225
OTU_35	0.4135638
OTU_36	0.3668828
OTU_43	0.9913705
OTU_37	0.4546195
OTU_47	0.370971
OTU_1128	0.4283926
OTU_38	0.3250081
OTU_39	0.2730597
OTU_41	0.2046032
OTU_42	0.3267302
OTU_46	0.4357081
OTU_45	0.2687457
OTU_69	0.1166433
OTU_48	0.454563
OTU_44	0.2139545
OTU_40	0.3442619
OTU_50	0.1779471
OTU_547	0.3405537
OTU_49	0.3130627
OTU_68	0.357797
OTU_85	0.2476911
OTU_51	0.3775972
OTU_53	0.324993
OTU_54	0.3184896
OTU_57	0.2902649
OTU_593	0.2660169
OTU_71	0.2288884
OTU_56	0.2476701
OTU_59	0.2929542
OTU_62	0.2068003
OTU_67	0.6054302
OTU_428	0.1857473
OTU_60	0.1719342
OTU_61	0.2426719
OTU_65	0.282619
OTU_63	0.1631456
OTU_77	0.274857
OTU_66	0.3229711
OTU_94	0.1823933
OTU_72	0.188572
OTU_70	0.1824904
OTU_73	0.1183443
OTU_74	0.2189891
OTU_79	0.1592473
OTU_81	0.1923066
OTU_427	0.1591334
OTU_76	0.1604085
OTU_75	0.2007525
OTU_80	0.2670194
OTU_90	0.2772549
OTU_86	0.174664
OTU_84	0.1641732
OTU_78	0.1670274
OTU_91	0.27458685
OTU_87	0.180816
OTU_83	0.1155227
OTU_88	0.14486048
OTU_89	0.206802
OTU_93	0.1426447
OTU_102	0.1598104
OTU_92	0.1609403
OTU_101	0.2201745
OTU_114	0.1260558
OTU_100	0.1602693
OTU_96	0.1249444
OTU_106	0.27502165
