DATASET_HEATMAP
SEPARATOR TAB
BORDER_WIDTH	0.5
COLOR	#fb9a99
COLOR_MAX	#1f78b4
COLOR_MIN	#e5e5e5
COLOR_NAN	#FFFFFF
DATASET_LABEL	OTUID
FIELD_LABELS	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
LEGEND_COLORS	#e5e5e5	#1f78b4
LEGEND_LABELS	Min. (0)	Max. (2231)
LEGEND_SHAPES	1	1
LEGEND_TITLE	OTUID
MARGIN	5
STRIP_WIDTH	50
DATA
OTU_657	975	1609	624	1072	818	868	1132	1419	1141	860	1074	912	1791	1909	1367	1582	1115	1243
OTU_2	1786	1030	1824	1772	2231	1490	576	438	1045	1158	817	574	1000	1139	679	900	1159	948
OTU_3	515	384	692	713	941	693	545	401	902	943	722	606	808	1364	821	962	931	616
OTU_4	1303	335	413	600	991	412	464	522	375	567	570	386	875	1101	440	462	864	745
OTU_5	41	92	151	32	132	150	1120	731	659	344	892	1318	1127	1068	875	575	1220	311
OTU_6	808	568	643	711	1154	833	227	225	317	352	335	325	444	416	387	435	393	404
OTU_8	462	421	468	335	146	266	301	472	1346	710	437	464	493	580	445	844	354	414
OTU_7	196	110	949	290	998	236	117	1065	712	463	168	198	621	698	440	172	449	690
OTU_9	313	670	273	351	208	448	263	390	543	357	477	358	457	247	354	345	584	412
OTU_10	335	304	534	601	787	538	182	157	241	257	349	251	266	451	200	210	406	226
OTU_17	474	325	362	402	422	547	185	155	254	271	275	238	343	344	308	355	294	313
OTU_11	286	287	247	278	431	304	424	331	208	381	297	167	327	378	407	330	252	308
OTU_13	154	151	292	285	411	313	155	452	408	271	427	169	297	219	340	225	448	416
OTU_14	285	279	300	304	357	313	239	170	272	286	316	235	288	431	368	393	260	272
OTU_15	293	352	340	266	283	307	333	270	239	230	348	330	229	207	250	293	280	296
OTU_12	29	99	475	249	148	173	177	651	579	428	322	110	224	226	192	163	366	476
OTU_16	210	207	401	214	109	175	144	211	510	258	196	161	331	219	196	252	634	283
OTU_18	209	271	146	210	134	180	204	160	178	321	241	175	348	378	180	231	392	234
OTU_28	239	266	45	349	102	150	143	247	132	236	216	164	311	345	196	260	352	198
OTU_19	189	601	95	138	105	211	168	200	88	147	341	198	265	88	474	95	137	120
OTU_20	172	363	66	206	120	130	65	105	42	166	99	96	195	224	86	109	1210	93
OTU_31	181	180	188	226	45	232	175	197	304	198	199	136	201	155	201	188	262	138
OTU_33	188	150	110	115	67	152	240	157	161	164	204	236	173	160	271	203	201	252
OTU_25	105	112	878	47	25	56	230	130	65	164	146	108	110	22	235	196	161	300
OTU_21	132	308	153	94	78	114	147	172	133	140	166	142	166	241	160	233	290	176
OTU_22	178	170	240	191	175	176	232	137	125	155	159	195	121	134	187	128	126	164
OTU_26	153	151	93	312	48	25	197	241	266	83	160	113	290	59	136	72	8	499
OTU_24	161	133	383	391	261	209	93	56	129	88	113	142	84	176	93	175	94	91
OTU_23	111	368	392	71	147	238	67	71	61	120	147	62	124	176	101	395	116	94
OTU_27	174	208	156	94	118	165	231	141	125	128	164	189	131	137	187	148	91	181
OTU_29	105	94	269	152	298	199	96	159	78	112	148	60	138	175	92	149	259	161
OTU_30	157	99	132	160	156	231	120	97	183	262	121	90	147	152	162	140	117	135
OTU_32	162	127	112	111	90	122	194	125	126	146	154	175	149	169	195	123	108	184
OTU_1227	83	182	74	160	15	55	151	112	119	163	148	91	229	271	187	180	194	116
OTU_35	134	125	168	156	120	109	107	76	146	139	150	130	138	160	167	151	153	185
OTU_36	176	55	80	195	153	295	57	33	241	166	84	83	194	251	97	123	125	87
OTU_43	132	103	32	45	36	82	481	173	259	262	118	499	38	15	60	39	22	58
OTU_37	118	84	103	42	109	94	167	115	101	120	153	166	117	173	241	163	181	197
OTU_47	160	136	147	157	169	205	113	92	119	122	119	106	102	103	110	179	119	139
OTU_1128	76	179	157	70	67	93	118	121	179	110	149	98	122	179	148	157	115	168
OTU_38	103	48	64	169	112	171	40	30	183	125	86	124	170	470	56	99	118	73
OTU_39	179	115	154	170	275	172	68	71	90	109	81	75	85	132	88	124	98	99
OTU_41	212	122	126	259	227	307	49	33	74	55	86	73	88	106	62	100	111	87
OTU_42	89	233	204	100	139	97	80	104	86	96	135	90	116	154	121	139	43	122
OTU_46	119	102	65	134	53	94	171	96	138	129	160	94	101	155	139	147	106	143
OTU_45	94	213	182	85	154	64	92	78	86	51	91	88	145	103	100	218	63	77
OTU_69	23	38	9	953	410	31	38	39	19	47	46	22	102	24	25	31	71	55
OTU_48	95	51	153	113	132	89	129	138	117	103	151	184	44	60	79	103	134	94
OTU_44	145	84	176	157	287	125	69	33	84	77	75	49	110	158	77	42	132	77
OTU_40	3	36	5	54	108	2	38	236	6	111	138	94	715	46	14	36	198	114
OTU_50	116	64	101	259	188	257	28	26	99	69	57	43	156	146	63	100	84	89
OTU_547	49	42	83	85	107	60	111	68	105	141	103	88	104	195	172	153	118	104
OTU_49	86	150	149	40	36	80	116	118	63	42	78	149	140	59	105	231	102	137
OTU_68	104	115	119	68	72	113	170	85	95	100	115	82	59	89	185	58	77	147
OTU_85	104	123	80	138	129	268	67	42	123	54	87	75	71	54	61	51	205	68
OTU_51	145	94	502	6	33	65	31	28	314	272	23	16	41	40	59	15	45	25
OTU_53	85	151	121	96	49	75	94	141	103	77	102	71	77	76	108	120	78	116
OTU_54	113	233	82	87	117	131	144	141	44	84	70	93	73	20	56	42	108	68
OTU_57	64	44	79	28	271	65	171	109	58	89	65	33	131	67	108	92	57	170
OTU_593	125	109	91	109	105	143	83	51	83	66	97	101	72	69	110	95	84	71
OTU_71	70	64	168	88	236	107	50	71	22	101	103	67	62	55	62	105	156	73
OTU_56	123	99	112	136	152	113	72	76	57	89	91	63	76	69	75	69	79	81
OTU_59	90	110	104	106	92	100	74	124	87	61	125	59	71	94	86	79	88	73
OTU_62	84	66	124	125	178	116	51	53	54	66	69	81	43	106	44	79	111	80
OTU_67	28	28	30	27	45	26	115	111	68	393	83	325	21	12	18	27	76	37
OTU_428	56	88	110	142	113	108	53	38	67	66	69	43	60	106	65	90	125	48
OTU_60	108	86	103	111	170	109	50	40	58	62	47	54	68	75	64	67	74	101
OTU_61	68	67	49	59	145	66	107	77	59	100	55	41	90	106	97	75	57	106
OTU_65	65	78	62	88	65	86	76	57	58	63	197	60	61	78	75	53	53	81
OTU_63	117	87	106	100	127	115	53	27	38	56	72	49	75	68	41	67	53	79
OTU_77	91	56	51	53	25	54	109	66	71	77	80	94	61	77	115	88	62	96
OTU_66	64	93	30	40	32	40	146	97	73	82	81	105	73	55	92	63	49	72
OTU_94	60	29	46	39	353	38	84	110	37	33	41	25	59	41	92	49	58	58
OTU_72	84	43	40	62	23	75	47	39	54	54	76	71	27	97	80	246	70	51
OTU_70	86	36	45	77	58	295	40	32	60	61	42	95	42	37	73	48	46	52
OTU_73	129	63	89	187	88	161	26	13	44	36	47	48	44	53	39	50	50	51
OTU_74	69	74	69	64	90	64	79	61	48	56	93	59	55	59	65	58	67	59
OTU_79	93	98	79	75	104	131	41	33	44	57	54	59	43	45	50	75	56	52
OTU_81	64	22	75	80	62	58	25	32	113	73	46	59	57	93	74	78	62	77
OTU_427	51	67	76	48	32	43	26	66	65	48	46	37	96	79	73	48	118	101
OTU_76	47	38	82	51	57	51	40	25	54	35	52	84	27	141	34	221	26	39
OTU_75	59	58	25	33	86	50	67	49	48	53	77	69	50	33	66	134	84	62
OTU_80	85	25	31	47	96	31	38	87	38	88	183	49	41	17	86	46	62	43
OTU_90	22	5	32	32	151	18	28	271	11	53	101	38	5	15	87	2	127	77
OTU_86	57	75	11	33	21	33	51	112	30	26	43	54	75	103	89	50	132	54
OTU_84	38	89	32	2	7	279	81	16	25	130	23	22	165	0	30	50	19	39
OTU_78	85	62	44	66	40	55	30	62	10	32	110	58	5	0	83	75	112	111
OTU_91	172	62	53	93	1	39	75	83	122	122	70	25	9	11	1	54	17	2
OTU_87	30	58	89	73	90	65	31	56	45	27	124	44	49	37	53	45	50	43
OTU_83	100	28	35	71	89	132	16	17	72	32	23	49	58	119	27	48	55	35
OTU_88	85	125	5	16	2	375	44	36	29	68	25	60	41	9	10	34	0	12
OTU_89	50	57	29	29	25	42	78	54	47	71	66	58	33	70	56	81	56	72
OTU_93	6	8	59	54	48	27	30	70	23	21	68	46	44	33	27	40	177	180
