Factor	GF	SH1	SH2	SH3	SP1	SP2	SP3
Mono	1	1.445820433	0.809421842	0.955026455	1.451523546	1	0.555343511
MF	1	0.330708661	1.014285714	2.309859155	0.172764228	1.588235294	0.82962963
CD11B+DC	1	1.178571429	3.060606061	1.475247525	0.711409396	0.726415094	2
MNP	1	0.192307692	11	2.345454545	0.240310078	0.548387097	3.117647059
CD11B-DC	1	1.7	0.676470588	2.130434783	0.918367347	1.022222222	1.913043478
pDCs	1	2.662650602	1.262443439	1.197132616	0.758483034	1.302631579	1.123232323
ILC3	1	0.961174242	1.019704433	0.77294686	1.7825	1.172510519	0.601674641
Tgd	1	0.941709845	1.662998624	0.940033085	0.750109987	1.703225806	0.569903581
B cell	1	2.40730136	0.696104668	0.87526698	0.58272328	0.351758794	3.55952381
Tab	1	0.475580464	1.318181818	1.346104725	0.679316888	0.599162011	2.773892774
CD4	1	1.266666667	1.085645933	0.428382547	3.054526749	1.12057932	0.623083859
CD8	1	5.591078067	2.200132979	1.902689634	0.220298602	1.388608508	0.84423676
DN	1	0.754049884	0.665302643	0.522039979	2.562592047	0.801340996	1.399474062
Rorr+Foxp3-	1	2.116421569	0.995946728	0.830813953	1.076277117	0.798439532	1.118078176
Tregs	1	1.057189542	3.052550232	0.482025316	1.385504202	1.507202426	0.295774648
