Factor	GF	SH1	SH2	SH3	SP1	SP2	SP3
Mono	1	2.188679245	1.454022989	1.039525692	1.121673004	1.483050847	1.260571429
MF	1	2.466666667	0.945945946	1.571428571	1.272727273	3.071428571	1.158139535
CD11B+DC	1	0.120879121	0.727272727	1.25	1.3	2.384615385	0.870967742
MNP	1	0.722222222	0.615384615	2.25	0.722222222	2.846153846	1.054054054
CD11B-DC	1	0.083333333	0.307692308	3.25	1	2.076923077	0.740740741
pDCs	1	1.390243902	0.859649123	1.836734694	1.788888889	1.254658385	1.183168317
ILC3	1	0.924528302	1.394557823	1.048780488	1.309302326	2.388987567	0.731598513
Tgd	1	0.692426584	1.254464286	1.096085409	0.621753247	0.919060052	0.761363636
B cell	1	0.99543751	0.929612048	1.121852439	1.100612149	0.998431261	1.026996143
Tab	1	1.007389163	1.085225288	0.746379144	0.733937042	0.560517039	1.129979036
CD4	1	1.005123826	0.889691306	1.022441509	1.090909091	0.797945205	1.142167382
CD8	1	0.379495027	1.314516129	0.875	0.773882559	2.690826727	0.773569024
DN	1	2.010869565	0.697297297	1.480620155	1.42408377	3.194852941	0.585730725
Rorr+Foxp3-	1	2.232277526	0.959459459	1.202816901	1.238875878	2.425803403	0.812974868
Tregs	1	0.724451578	0.720827179	1.120901639	1.042047532	1.315789474	0.834
