OUT	SH2	SH3	SH4	SP1	SP2	SP3
OTU1	96832	57125	126191	93537	65425	71655
OTU10	102	39	112	119	84	217
OTU100	0	1	0	0	0	2
OTU1000	0	0	0	4	0	0
OTU1001	0	0	0	0	0	0
OTU1002	0	0	0	0	0	0
OTU1003	0	0	0	0	0	0
OTU1004	2	2	1	2	0	1
OTU1005	0	0	0	0	0	0
OTU1006	0	0	0	5	0	0
OTU1007	0	0	0	0	0	0
OTU1008	0	0	2	1	0	0
OTU1009	0	0	0	9	0	0
OTU101	3	0	7	6	3	5
OTU1010	0	0	0	0	0	0
OTU1011	2	1	1	7	0	4
OTU1012	3	0	3	1	0	0
OTU1014	0	0	4	0	1	0
OTU1015	0	0	3	1	0	0
OTU1016	0	2	1	2	3	0
OTU1017	0	0	1	0	0	0
OTU1018	0	3	1	2	2	1
OTU1019	0	0	0	0	0	0
OTU102	13	11	9	16	15	16
OTU1020	1	0	1	1	0	0
OTU1021	0	3	1	2	0	0
OTU1022	0	2	0	0	0	0
OTU1023	0	0	0	7	0	0
OTU1024	9	5	6	3	1	3
OTU1025	0	0	0	3	2	0
OTU1026	2	1	2	0	1	1
OTU1027	0	0	0	3	0	0
OTU1028	0	0	0	10	0	7
OTU1029	0	0	0	5	0	0
OTU103	2	1	0	3	2	11
OTU1030	0	0	0	0	0	0
OTU1031	0	2	1	0	0	0
OTU1032	0	0	0	0	0	0
OTU1033	0	0	3	0	0	0
OTU1034	0	0	0	0	0	3
OTU1035	0	3	0	0	0	0
OTU1036	0	0	2	0	0	0
OTU1037	0	0	1	0	0	0
OTU1038	2	0	0	0	0	0
OTU1039	1	0	0	0	0	0
OTU104	2	2	5	22	1	15
OTU1040	0	0	3	1	1	1
OTU1041	0	0	0	0	0	2
OTU1042	0	0	0	0	0	2
OTU1043	0	1	0	0	0	0
OTU1044	2	0	0	0	0	0
OTU1045	0	0	0	0	0	0
OTU1046	0	0	0	0	0	0
OTU1047	0	0	0	2	0	0
OTU1048	0	0	0	2	0	0
OTU1049	0	0	4	0	0	0
OTU105	7	1	11	7	2	38
OTU1050	0	0	2	0	0	0
OTU1051	0	3	2	4	0	5
OTU1052	0	0	0	0	0	0
OTU1053	0	0	0	0	0	0
OTU1054	1	0	2	1	0	2
