taxonomy	SH2	SH3	SH4	SP1	SP2	SP3
Acetothermia	0	0	0	0	0	0
Acidobacteria	0	0	0	0	0	0
Acidobacteria	0	3	1	2	0	0
Acidobacteria	0	0	4	4	0	0
Acidobacteria	0	0	0	0	0	0
Acidobacteria	2	0	0	0	0	0
Acidobacteria	0	0	0	0	0	0
Acidobacteria	0	0	0	0	0	3
Acidobacteria	0	0	0	0	0	0
Acidobacteria	0	0	0	0	0	59
Acidobacteria	1	0	1	0	0	0
Acidobacteria	0	0	0	0	2	2
Acidobacteria	0	0	0	0	0	0
Acidobacteria	0	0	2	0	0	0
Acidobacteria	0	0	0	0	0	0
Acidobacteria	1	0	0	0	0	0
Acidobacteria	0	0	0	0	2	0
Acidobacteria	0	0	0	0	0	0
Acidobacteria	0	0	0	2	0	0
Acidobacteria	8	2	5	7	9	8
Acidobacteria	2	0	0	0	1	0
Acidobacteria	0	0	0	0	0	0
Acidobacteria	0	0	2	0	0	0
Acidobacteria	0	1	0	0	0	0
Acidobacteria	0	0	2	0	0	0
Acidobacteria	0	0	0	0	0	0
Acidobacteria	0	0	0	0	0	0
Acidobacteria	1	0	0	0	2	1
Acidobacteria	0	0	0	0	0	0
Acidobacteria	0	1	1	2	0	0
Acidobacteria	0	0	0	3	0	0
Acidobacteria	0	0	0	2	0	0
Acidobacteria	1	3	1	2	0	2
Acidobacteria	0	1	1	2	3	1
Acidobacteria	1	0	0	0	0	46
Acidobacteria	0	0	0	0	2	0
Acidobacteria	0	2	0	0	0	0
Acidobacteria	0	0	0	0	0	0
Acidobacteria	0	0	1	0	0	0
Acidobacteria	0	0	0	0	2	0
Acidobacteria	0	0	0	0	2	0
Acidobacteria	0	0	2	0	0	0
Acidobacteria	3	0	1	1	0	0
Acidobacteria	0	0	0	2	0	0
Acidobacteria	0	0	0	0	0	0
Acidobacteria	0	0	2	0	0	0
Acidobacteria	1	0	0	1	0	0
Acidobacteria	0	0	1	0	1	1
Acidobacteria	0	0	2	1	0	0
Acidobacteria	0	0	0	0	0	0
Acidobacteria	0	0	1	0	0	0
Acidobacteria	1	0	0	1	0	0
Acidobacteria	0	1	0	0	0	0
Acidobacteria	0	0	0	0	0	0
Acidobacteria	0	0	0	2	0	0
Acidobacteria	0	2	0	0	0	0
